"","cg15524170"
"PDD38",0.7982561
"CTRL61",0.8558127
"PDD23",0.821153
"PDD21",0.7901152
"PD29",0.7582125
"PD5",0.7510196
"CTRL88",0.7953054
"PD41",0.8086505
"PDD39",0.7333772
"PD11",0.7848542
"PDD26",0.7882069
"PDD25",0.8501628
"PD1",0.8466811
"CTRL24",0.7765405
"PD55",0.7571506
"CTRL15",0.792419
"CTRL63",0.8618512
"PDD60",0.8307791
"PDD51",0.7575545
"PDD43",0.6933763
"PD14",0.9065865
"PDD5",0.8317919
"PD37",0.7747603
"CTRL80",0.8200729
"PDD74",0.8696681
"CTRL62",0.8521818
"PD3",0.837827
"CTRL39",0.8193045
"CTRL97",0.8779477
"PD47",0.7934606
"DLB17",0.943723
"DLB2",0.8173718
"CTRL35",0.7805222
"PD8",0.8428506
"CTRL51",0.8274544
"CTRL77",0.8375998
"CTRL68",0.8551708
"PDD24",0.750273
"CTRL19",0.8536419
"PDD13",0.8589844
"CTRL43",0.8739939
"DLB11",0.9027361
"PDD58",0.8502635
"CTRL42",0.8374251
"PDD53",0.7944111
"PD40",0.79175
"PDD44",0.7916886
"PD6",0.8093151
"CTRL1",0.856483
"PD35",0.8419612
"PDD41",0.7863692
"PDD70",0.7685471
"PD59",0.7946468
"PDD28",0.8946893
"CTRL78",0.8273153
"CTRL64",0.8604431
"PD48",0.78346
"PD21",0.8038636
"CTRL95",0.8858948
"CTRL57",0.8765414
"PDD30",0.8084524
"PDD22",0.8093892
"DLB15",0.8531223
"PD50",0.8394612
"CTRL29",0.6998124
"PDD54",0.8115298
"PDD27",0.8144967
"DLB24",0.7999903
"PD23",0.8011346
"PD30",0.807468
"PDD15",0.7944866
"CTRL50",0.767908
"CTRL93",0.7923571
"PDD35",0.8431341
"CTRL73",0.8531475
"PDD6",0.8087931
"CTRL13",0.8030257
"PDD73",0.8254986
"CTRL81",0.8238712
"CTRL33",0.8463175
"PDD49",0.7669742
"PD27",0.7616203
"PDD4",0.8719737
"PD58",0.8086352
"CTRL85",0.8335346
"PD52",0.8110216
"PD60",0.8576553
"PD61",0.7985828
"CTRL11",0.8373493
"CTRL40",0.8599069
"DLB35",0.8316623
"PD9",0.8432746
"CTRL79",0.8484711
"PDD61",0.8918487
"PD56",0.8098742
"CTRL55",0.7961917
"CTRL37",0.755038
"CTRL82",0.8355943
"CTRL32",0.8166985
"PD2",0.8480564
"PD54",0.804943
"CTRL48",0.8019314
"PD49",0.8462969
"PDD69",0.8202335
"PD45",0.8149648
"CTRL12",0.7830613
"PD33",0.7664522
"PD51",0.8630468
"PD13",0.7529815
"PDD45",0.756184
"PD20",0.803895
"CTRL83",0.6701252
"PDD7",0.8357002
"CTRL71",0.8691421
"PDD47",0.7833866
"PD32",0.7769534
"CTRL6",0.7308609
"CTRL46",0.7907141
"PD17",0.8355017
"PDD10",0.7709655
"DLB12",0.8005103
"CTRL44",0.8169712
"CTRL86",0.7750453
"DLB27",0.769299
"PD18",0.7628321
"CTRL20",0.8287536
"PDD50",0.7248177
"DLB21",0.78828
"CTRL53",0.8099229
"CTRL65",0.8213994
"PD38",0.8259136
"CTRL18",0.7771263
"PDD36",0.7840452
"PDD64",0.8135406
"PD42",0.8074962
"PDD33",0.7176046
"PDD65",0.8274511
"PD62",0.7771479
"PDD77",0.8875192
"PDD2",0.7968004
"PD25",0.7969501
"DLB14",0.8096093
