"","cg20075042"
"PDD38",0.8804085
"CTRL61",0.9239198
"PDD23",0.9398725
"PDD21",0.9338431
"PD29",0.8991392
"PD5",0.9167781
"CTRL88",0.941988
"PD41",0.8807451
"PDD39",0.9156077
"PD11",0.911861
"PDD26",0.9244154
"PDD25",0.9280082
"PD1",0.9211909
"CTRL24",0.8885325
"PD55",0.9150372
"CTRL15",0.9086127
"CTRL63",0.9472097
"PDD60",0.9171831
"PDD51",0.8920696
"PDD43",0.9070573
"PD14",0.9252258
"PDD5",0.936853
"PD37",0.9087812
"CTRL80",0.9049237
"PDD74",0.9119458
"CTRL62",0.8937337
"PD3",0.9293199
"CTRL39",0.893761
"CTRL97",0.9095891
"PD47",0.8929988
"DLB17",0.9050013
"DLB2",0.9209429
"CTRL35",0.9240035
"PD8",0.9257851
"CTRL51",0.9330869
"CTRL77",0.9151643
"CTRL68",0.9175762
"PDD24",0.9588282
"CTRL19",0.9035393
"PDD13",0.9384057
"CTRL43",0.896729
"DLB11",0.9497784
"PDD58",0.9319118
"CTRL42",0.9121482
"PDD53",0.9161988
"PD40",0.921966
"PDD44",0.9053546
"PD6",0.9511301
"CTRL1",0.9139055
"PD35",0.8943414
"PDD41",0.916465
"PDD70",0.9235197
"PD59",0.9225686
"PDD28",0.9445871
"CTRL78",0.9535735
"CTRL64",0.9340897
"PD48",0.9085368
"PD21",0.9198106
"CTRL95",0.9029087
"CTRL57",0.9089531
"PDD30",0.9266136
"PDD22",0.9145372
"DLB15",0.9164126
"PD50",0.9061479
"CTRL29",0.8768862
"PDD54",0.9136565
"PDD27",0.9310981
"DLB24",0.9209918
"PD23",0.9115528
"PD30",0.9229339
"PDD15",0.9136614
"CTRL50",0.9290512
"CTRL93",0.9247427
"PDD35",0.8859418
"CTRL73",0.9130781
"PDD6",0.9265942
"CTRL13",0.8717055
"PDD73",0.9531255
"CTRL81",0.931401
"CTRL33",0.885564
"PDD49",0.9115638
"PD27",0.9127337
"PDD4",0.9159509
"PD58",0.9271081
"CTRL85",0.9304498
"PD52",0.9224049
"PD60",0.9328225
"PD61",0.9473095
"CTRL11",0.9165683
"CTRL40",0.908663
"DLB35",0.9212074
"PD9",0.9287463
"CTRL79",0.9551726
"PDD61",0.891926
"PD56",0.9582565
"CTRL55",0.8916274
"CTRL37",0.9013993
"CTRL82",0.9165051
"CTRL32",0.8803814
"PD2",0.9352999
"PD54",0.9111634
"CTRL48",0.9201728
"PD49",0.9263608
"PDD69",0.9342877
"PD45",0.906502
"CTRL12",0.9351882
"PD33",0.9064203
"PD51",0.9090509
"PD13",0.8947893
"PDD45",0.9237815
"PD20",0.927731
"CTRL83",0.9210833
"PDD7",0.9068961
"CTRL71",0.9291225
"PDD47",0.8987339
"PD32",0.8715273
"CTRL6",0.8965078
"CTRL46",0.9105399
"PD17",0.948618
"PDD10",0.9511263
"DLB12",0.9092823
"CTRL44",0.9271098
"CTRL86",0.9035173
"DLB27",0.8942008
"PD18",0.9098764
"CTRL20",0.87214
"PDD50",0.8979164
"DLB21",0.8631263
"CTRL53",0.9004864
"CTRL65",0.9240043
"PD38",0.9154838
"CTRL18",0.881769
"PDD36",0.9207549
"PDD64",0.9408127
"PD42",0.8990275
"PDD33",0.9331874
"PDD65",0.8874047
"PD62",0.9312139
"PDD77",0.913232
"PDD2",0.9583576
"PD25",0.9328548
"DLB14",0.9230497
