"","cg20936920","cg05835496"
"PDD38",0.9115655,0.5486785
"CTRL61",0.9425799,0.4696451
"PDD23",0.950898,0.567712
"PDD21",0.9635615,0.5519189
"PD29",0.9286342,0.4492808
"PD5",0.8702174,0.5393108
"CTRL88",0.9180589,0.522237
"PD41",0.9478729,0.4944269
"PDD39",0.9561521,0.4034228
"PD11",0.9597345,0.4891537
"PDD26",0.9341154,0.533135
"PDD25",0.9481894,0.461431
"PD1",0.9637279,0.4666639
"CTRL24",0.9401759,0.526467
"PD55",0.9301263,0.4891931
"CTRL15",0.97344,0.4457389
"CTRL63",0.9208206,0.4813844
"PDD60",0.9816115,0.4699525
"PDD51",0.9630614,0.4268712
"PDD43",0.9364129,0.4533251
"PD14",0.9276146,0.4809738
"PDD5",0.9069377,0.4170313
"PD37",0.9534777,0.524005
"CTRL80",0.954023,0.4624758
"PDD74",0.9199159,0.4663987
"CTRL62",0.9802777,0.5064284
"PD3",0.8425478,0.506532
"CTRL39",0.9473148,0.5474221
"CTRL97",0.9543364,0.4948126
"PD47",0.9646737,0.4371913
"DLB17",0.8657701,0.5028351
"DLB2",0.8975808,0.4155107
"CTRL35",0.9674779,0.5182131
"PD8",0.9033743,0.4678846
"CTRL51",0.9873524,0.5478489
"CTRL77",0.8535759,0.443754
"CTRL68",0.9461056,0.448721
"PDD24",0.9433462,0.6099929
"CTRL19",0.9583584,0.5466833
"PDD13",0.9682835,0.4837133
"CTRL43",0.9303651,0.4616448
"DLB11",0.9255781,0.5087629
"PDD58",0.9529904,0.4762741
"CTRL42",0.9510598,0.5041709
"PDD53",0.9699143,0.5323016
"PD40",0.9196515,0.4758167
"PDD44",0.9421816,0.4640843
"PD6",0.938833,0.4988842
"CTRL1",0.9175913,0.580602
"PD35",0.9493989,0.4814587
"PDD41",0.9318551,0.4038091
"PDD70",0.9359309,0.5482138
"PD59",0.9558879,0.5289627
"PDD28",0.973732,0.3779387
"CTRL78",0.8717141,0.5341652
"CTRL64",0.9120055,0.399901
"PD48",0.9610774,0.4194123
"PD21",0.9415634,0.4626062
"CTRL95",0.9519575,0.4962836
"CTRL57",0.9301732,0.4645527
"PDD30",0.8967262,0.4607858
"PDD22",0.974855,0.5161101
"DLB15",0.9163695,0.4641932
"PD50",0.9633335,0.473143
"CTRL29",0.9574357,0.4312403
"PDD54",0.9356463,0.4561754
"PDD27",0.9507445,0.5731564
"DLB24",0.9481496,0.5081435
"PD23",0.9436574,0.5257058
"PD30",0.9625345,0.4841371
"PDD15",0.9052371,0.471405
"CTRL50",0.9699441,0.5226432
"CTRL93",0.9219057,0.4963739
"PDD35",0.9390842,0.5043172
"CTRL73",0.9465255,0.4216957
"PDD6",0.9631843,0.4502901
"CTRL13",0.9194497,0.4528798
"PDD73",0.9186066,0.5058382
"CTRL81",0.9550854,0.4398967
"CTRL33",0.9509031,0.5245742
"PDD49",0.9438289,0.4272714
"PD27",0.9520545,0.5055048
"PDD4",0.9093108,0.469044
"PD58",0.9538311,0.4791811
"CTRL85",0.9619931,0.4633276
"PD52",0.9544771,0.5106189
"PD60",0.8950237,0.4885754
"PD61",0.9500144,0.4339659
"CTRL11",0.9534357,0.5254255
"CTRL40",0.9845137,0.5146242
"DLB35",0.9327843,0.4557268
"PD9",0.9340738,0.4897597
"CTRL79",0.9238274,0.4942352
"PDD61",0.9578636,0.4741048
"PD56",0.9664009,0.5126818
"CTRL55",0.9449476,0.5021352
"CTRL37",0.9666054,0.4437071
"CTRL82",0.9624834,0.4817789
"CTRL32",0.958505,0.5329183
"PD2",0.9072043,0.5043489
"PD54",0.9542815,0.5082108
"CTRL48",0.9272346,0.4357494
"PD49",0.9474546,0.4037412
"PDD69",0.9414938,0.4761475
"PD45",0.9524162,0.4252567
"CTRL12",0.9160438,0.5128724
"PD33",0.9440676,0.4600844
"PD51",0.952851,0.4912185
"PD13",0.9347886,0.4379124
"PDD45",0.958262,0.5286708
"PD20",0.9292841,0.5171774
"CTRL83",0.9484384,0.5849334
"PDD7",0.9185659,0.5408991
"CTRL71",0.9268399,0.4731254
"PDD47",0.9241932,0.5362339
"PD32",0.9404069,0.4097113
"CTRL6",0.9490438,0.4805989
"CTRL46",0.9438102,0.4114154
"PD17",0.8952762,0.5326075
"PDD10",0.9496486,0.4869158
"DLB12",0.9455922,0.4625915
"CTRL44",0.947924,0.4766489
"CTRL86",0.959221,0.4754982
"DLB27",0.9586756,0.4295696
"PD18",0.9344621,0.3894994
"CTRL20",0.9672218,0.5125127
"PDD50",0.9250974,0.4060095
"DLB21",0.9554523,0.487123
"CTRL53",0.9653469,0.496745
"CTRL65",0.9320647,0.4431284
"PD38",0.9680726,0.4773253
"CTRL18",0.9701831,0.5042994
"PDD36",0.9297374,0.4641959
"PDD64",0.9529167,0.4447955
"PD42",0.9339092,0.3554381
"PDD33",0.9104381,0.4714033
"PDD65",0.9672254,0.4557926
"PD62",0.9423673,0.5201789
"PDD77",0.9177304,0.5306802
"PDD2",0.9276174,0.4868583
"PD25",0.9243906,0.5387852
"DLB14",0.9409749,0.5053358
