"","PDD38","CTRL61","PDD23","PDD21","PD29","PD5","CTRL88","PD41","PDD39","PD11","PDD26","PDD25","PD1","CTRL24","PD55","CTRL15","CTRL63","PDD60","PDD51","PDD43","PD14","PDD5","PD37","CTRL80","PDD74","CTRL62","PD3","CTRL39","CTRL97","PD47","DLB17","DLB2","CTRL35","PD8","CTRL51","CTRL77","CTRL68","PDD24","CTRL19","PDD13","CTRL43","DLB11","PDD58","CTRL42","PDD53","PD40","PDD44","PD6","CTRL1","PD35","PDD41","PDD70","PD59","PDD28","CTRL78","CTRL64","PD48","PD21","CTRL95","CTRL57","PDD30","PDD22","DLB15","PD50","CTRL29","PDD54","PDD27","DLB24","PD23","PD30","PDD15","CTRL50","CTRL93","PDD35","CTRL73","PDD6","CTRL13","PDD73","CTRL81","CTRL33","PDD49","PD27","PDD4","PD58","CTRL85","PD52","PD60","PD61","CTRL11","CTRL40","DLB35","PD9","CTRL79","PDD61","PD56","CTRL55","CTRL37","CTRL82","CTRL32","PD2","PD54","CTRL48","PD49","PDD69","PD45","CTRL12","PD33","PD51","PD13","PDD45","PD20","CTRL83","PDD7","CTRL71","PDD47","PD32","CTRL6","CTRL46","PD17","PDD10","DLB12","CTRL44","CTRL86","DLB27","PD18","CTRL20","PDD50","DLB21","CTRL53","CTRL65","PD38","CTRL18","PDD36","PDD64","PD42","PDD33","PDD65","PD62","PDD77","PDD2","PD25","DLB14","chr"
"cg09810141",0.9638755,0.9601816,0.9681092,0.9654129,0.9268766,0.9380724,0.9703955,0.9640653,0.9710931,0.9691152,0.945636,0.9731225,0.9692252,0.9606285,0.9616958,0.944815,0.920303,0.9698568,0.9437158,0.9846969,0.9484646,0.933491,0.9725475,0.9187688,0.9645784,0.9671517,0.8989964,0.9519368,0.9670886,0.9609617,0.952299,0.9099972,0.966146,0.9404399,0.9661967,0.9603558,0.9642657,0.8856083,0.9501535,0.9639417,0.9535868,0.9628312,0.9680585,0.9560365,0.9814654,0.9644642,0.958118,0.908568,0.9149789,0.9565884,0.9669868,0.960177,0.9334977,0.9668442,0.9374091,0.9421006,0.9448225,0.9706985,0.9741912,0.9308638,0.948444,0.9713072,0.9429652,0.9710717,0.9755826,0.968551,0.9494518,0.9629414,0.9723647,0.9547464,0.9310821,0.9606216,0.9452063,0.9676495,0.9334277,0.9552599,0.9457367,0.9700909,0.9593116,0.9367789,0.9594999,0.9408892,0.9227483,0.9616323,0.9592058,0.9752122,0.9337101,0.9726789,0.9700301,0.9342039,0.9590171,0.9528192,0.9746972,0.9687955,0.9673,0.9465577,0.9776653,0.9661409,0.9700688,0.9581338,0.9776435,0.9384058,0.9736499,0.9356153,0.9561357,0.9195877,0.9647472,0.9714547,0.9628,0.9595558,0.9656223,0.9553159,0.9518745,0.9514704,0.964862,0.9526813,0.9432035,0.962441,0.9554585,0.9538591,0.9468699,0.9581081,0.9603837,0.97385,0.9545547,0.9695217,0.9721466,0.971968,0.975205,0.9345805,0.9476341,0.9715286,0.9376242,0.9510315,0.9712532,0.9554937,0.96211,0.9462186,0.9693465,0.9376186,0.976594,0.9703438,"chr20"
"cg13581056",0.855639,0.8787741,0.8595346,0.8915598,0.8723519,0.8810702,0.8586986,0.8979369,0.8419036,0.8910557,0.8765783,0.8753385,0.8844852,0.8515196,0.890202,0.8406509,0.8823252,0.8739774,0.7977595,0.86237,0.9101946,0.9108798,0.8890889,0.8293509,0.8525641,0.874751,0.8844139,0.8832965,0.9126798,0.8687124,0.867246,0.8883694,0.8758131,0.9087357,0.8818506,0.8861321,0.8896983,0.9089194,0.8793467,0.8867807,0.8848463,0.8816613,0.8813766,0.8800217,0.874232,0.9014213,0.8895204,0.9366499,0.9018555,0.8608943,0.8337854,0.911658,0.8576067,0.8970615,0.9271269,0.8856967,0.8437157,0.8657809,0.8792723,0.8763958,0.9072497,0.8550102,0.8618609,0.9131342,0.81217,0.8891019,0.9083587,0.8489892,0.8912998,0.8718656,0.9205532,0.8985367,0.8529305,0.8808006,0.8661433,0.8965861,0.8299684,0.9256773,0.9034841,0.8906692,0.8421549,0.8784018,0.9004896,0.8847569,0.8684653,0.8515683,0.8768258,0.8595812,0.8786712,0.8883949,0.8608107,0.9062013,0.8675538,0.8578131,0.890269,0.8662602,0.8999174,0.8576667,0.9184097,0.9082511,0.9071494,0.881898,0.847246,0.8762937,0.863055,0.8537762,0.8178375,0.8848137,0.8562442,0.8635141,0.8692487,0.8260935,0.9254906,0.8996882,0.8765365,0.8606797,0.8184702,0.850688,0.9207201,0.8946118,0.8800906,0.881017,0.8714581,0.8609793,0.9037414,0.8560786,0.8069354,0.8386892,0.8822312,0.8911315,0.9222395,0.8655738,0.888707,0.9118346,0.8489571,0.8638479,0.8671358,0.8341676,0.9318761,0.904211,0.8734825,0.8652683,"chr20"
"cg07578130",0.06773959,0.06585849,0.03916325,0.0322998,0.05471723,0.07183223,0.1365635,0.06780222,0.03894904,0.04632447,0.04238926,0.05765516,0.0977858,0.08399093,0.07741293,0.07576864,0.08935451,0.06868035,0.04027187,0.08349365,0.06637958,0.06907573,0.08263764,0.04573578,0.06533625,0.08381903,0.1050807,0.07132815,0.03495876,0.04127822,0.05738523,0.06426845,0.1083627,0.09597859,0.08527037,0.0655542,0.06643786,0.05104595,0.06717786,0.05390633,0.05829512,0.08763339,0.05927747,0.1437,0.09268004,0.07286515,0.1023893,0.09056401,0.08157602,0.09493208,0.04075121,0.05018734,0.08349122,0.0331047,0.08758724,0.02516732,0.06475056,0.06544521,0.04603608,0.07497921,0.08345978,0.05573086,0.04927707,0.05806034,0.03997897,0.0763365,0.1142971,0.03086236,0.07245394,0.04229015,0.05810175,0.08988434,0.09588218,0.05322203,0.07584659,0.07592001,0.0782161,0.02941953,0.05824069,0.1232354,0.06436707,0.08689506,0.1098902,0.1006023,0.06519625,0.05909758,0.04460453,0.05976708,0.04248688,0.125801,0.02330964,0.07346663,0.02010622,0.07771818,0.05347158,0.09692818,0.06224712,0.05466506,0.07903266,0.09528648,0.08200005,0.06935944,0.04051546,0.03267049,0.07225716,0.05341801,0.04515658,0.07104974,0.1053928,0.1170169,0.09170738,0.04346946,0.1015033,0.05827947,0.06071327,0.06557216,0.0450978,0.04778759,0.0531167,0.03194073,0.07344499,0.0699286,0.06191817,0.04236833,0.05637605,0.05110468,0.05851314,0.04453689,0.06137728,0.08067524,0.06767025,0.07691081,0.05955811,0.07467106,0.1145528,0.05787442,0.06425617,0.04921647,0.1015374,0.09436482,0.05261291,0.1117762,"chr20"
"cg17636749",0.9055883,0.8974896,0.9032397,0.8632868,0.8641656,0.8605217,0.9297338,0.8567651,0.8486676,0.8965274,0.9185131,0.9211136,0.8625062,0.8798115,0.8937815,0.8478339,0.8995564,0.8651982,0.8168458,0.8773977,0.8718979,0.9170323,0.8393525,0.9150306,0.9023539,0.8734557,0.9106403,0.8269073,0.90924,0.8108286,0.8653015,0.9026857,0.8637627,0.8610113,0.8779931,0.859324,0.8610111,0.9267303,0.8883398,0.921326,0.8729551,0.9027428,0.8827372,0.860988,0.8917857,0.8774772,0.882728,0.9285719,0.8817103,0.8518533,0.8598118,0.8808206,0.8536947,0.8725665,0.9020707,0.804491,0.8755282,0.9109165,0.8523125,0.8746461,0.878961,0.9280181,0.8990399,0.8521542,0.8311407,0.8635458,0.8888057,0.8769722,0.8744725,0.8666375,0.8830703,0.8818991,0.8605464,0.879088,0.8562135,0.8885359,0.8979118,0.936218,0.8624138,0.8554454,0.8494173,0.858148,0.9186219,0.9130274,0.8792592,0.8698876,0.89492,0.9182485,0.9093757,0.8682093,0.8626684,0.8778874,0.8620631,0.8684413,0.9223608,0.8675899,0.8893653,0.8714915,0.8951422,0.9194844,0.8694709,0.8227296,0.8651802,0.8702886,0.8549393,0.9179547,0.8571564,0.8714337,0.9219622,0.9215201,0.8837713,0.9485349,0.8715262,0.8822372,0.8857045,0.7984802,0.9311301,0.8697564,0.9108132,0.8993271,0.8741482,0.8828198,0.9036883,0.8399286,0.855081,0.8223805,0.8216275,0.9056892,0.8464118,0.9019791,0.8648142,0.8863791,0.8802387,0.9249618,0.8505175,0.9102819,0.8746748,0.9013298,0.8752004,0.899003,0.8797884,0.8567329,"chr20"
"cg23834525",0.08409271,0.06589156,0.05590686,0.09644524,0.08886419,0.09057767,0.06959204,0.09650725,0.1031095,0.110787,0.09406607,0.114548,0.08633929,0.1189237,0.07350992,0.07848657,0.09448831,0.07462997,0.07471323,0.08470366,0.08831883,0.09689217,0.09074254,0.05339098,0.06885436,0.09781276,0.1163543,0.104642,0.08642636,0.0581959,0.05800482,0.1265497,0.08753735,0.1260354,0.08738119,0.05744221,0.02866786,0.07657634,0.1129511,0.1065229,0.07849902,0.08068064,0.08566018,0.08379945,0.1648263,0.09168634,0.1059803,0.08692885,0.1092873,0.09450092,0.1008507,0.0864873,0.06582307,0.06589128,0.08042956,0.06499016,0.08515622,0.1055019,0.09701732,0.1079896,0.1005579,0.08448225,0.109308,0.09461847,0.08140955,0.1046771,0.05610326,0.1170964,0.1127462,0.08936723,0.06681992,0.08088195,0.07813856,0.06610254,0.08572842,0.1187346,0.04373447,0.1057982,0.06197421,0.1127995,0.1118244,0.08885675,0.1097584,0.1225178,0.06606827,0.1035268,0.09290844,0.0469635,0.0749091,0.1142606,0.1302103,0.09221457,0.06675462,0.09883751,0.05722992,0.06820899,0.08379378,0.07858908,0.1204823,0.169731,0.06395746,0.07031283,0.05814025,0.08697767,0.1165403,0.10517,0.1028461,0.05377583,0.1229427,0.0669064,0.09381234,0.04258834,0.1145234,0.08620262,0.04474521,0.073849,0.08056899,0.08765708,0.07699857,0.09890578,0.07595215,0.09140254,0.05737076,0.09711863,0.1110945,0.09716249,0.07793355,0.08465916,0.1087763,0.06721086,0.1047538,0.09090584,0.1243773,0.0828664,0.178742,0.1036631,0.1317878,0.08021464,0.06139483,0.1095428,0.07701504,0.1069323,"chr20"
"cg00929635",0.05049241,0.04999707,0.03138588,0.02404545,0.07009318,0.0569125,0.04563857,0.06071919,0.0423438,0.04917578,0.0407118,0.03736957,0.04287066,0.06915393,0.02418387,0.0624115,0.02853289,0.1037561,0.06692549,0.05282916,0.03786608,0.08991478,0.0675272,0.04181855,0.05254039,0.06620734,0.0662775,0.06421386,0.051449,0.07189901,0.05597563,0.07110225,0.06939075,0.06417147,0.03718882,0.05837467,0.03780524,0.02611023,0.05363449,0.201554,0.06053612,0.04422676,0.07225349,0.08307096,0.06675225,0.1002209,0.06852237,0.02698316,0.04253775,0.07683382,0.05256598,0.03060594,0.04795708,0.08010964,0.06950803,0.05301073,0.08232422,0.06339238,0.04436807,0.04691746,0.04888243,0.04366433,0.04427344,0.06093976,0.05713617,0.03920929,0.07104762,0.1133307,0.123137,0.07028716,0.02915591,0.0524615,0.06893517,0.05715739,0.02566167,0.1017561,0.06008716,0.02653613,0.1538494,0.1009161,0.05541025,0.08195179,0.05336784,0.04030782,0.04628009,0.04066909,0.04134161,0.04823367,0.0462025,0.05997157,0.06077128,0.1168499,0.02947109,0.06511114,0.02961818,0.056481,0.06508977,0.03817101,0.05313653,0.0529416,0.03620233,0.09142231,0.08622091,0.04549318,0.08485723,0.04513173,0.05409738,0.02174906,0.04474735,0.04780782,0.03956756,0.06461707,0.03688738,0.0386236,0.06918574,0.06787138,0.04192111,0.06911001,0.04317418,0.04468223,0.03409342,0.08240582,0.05973957,0.05451674,0.05300638,0.0567668,0.05455389,0.0531742,0.0369245,0.04491004,0.06105263,0.0425028,0.05987989,0.04745106,0.09639241,0.04714711,0.05393509,0.0442529,0.0724499,0.08033773,0.03898377,0.1787044,"chr20"
"cg17294510",0.8794098,0.923176,0.9540184,0.8584665,0.8278469,0.9289253,0.9004978,0.8705,0.8703211,0.881449,0.8918121,0.8960528,0.9002401,0.8737409,0.9009584,0.8131065,0.9059773,0.8960309,0.8295973,0.8638468,0.9326018,0.897464,0.8588534,0.9034006,0.8568773,0.8585202,0.8198713,0.897573,0.8881043,0.9046713,0.9082563,0.8727603,0.9005383,0.9077948,0.8599817,0.912167,0.8717114,0.9588956,0.8870787,0.8651777,0.9083341,0.9051939,0.8656376,0.8469791,0.8776308,0.892172,0.9065617,0.9513236,0.8878631,0.8795265,0.8420764,0.9270345,0.8745451,0.8763906,0.9319319,0.9266561,0.8678499,0.9305973,0.9050361,0.8863634,0.8814728,0.8811599,0.8812479,0.8601001,0.838495,0.910075,0.9217266,0.8562594,0.8426536,0.8763554,0.902746,0.8950567,0.9053756,0.8935909,0.9187808,0.8337121,0.8473036,0.9353326,0.9262936,0.8652009,0.8549086,0.9118939,0.9383804,0.874276,0.8824144,0.9115775,0.8941516,0.8969271,0.910147,0.9004325,0.8473506,0.91492,0.9151516,0.8832336,0.8683308,0.912029,0.9189598,0.8963697,0.8751948,0.934277,0.8958821,0.9160019,0.889337,0.8782979,0.9100244,0.8974872,0.8505675,0.9209895,0.920281,0.9097957,0.861674,0.9179004,0.8824239,0.8968856,0.8634507,0.844512,0.877486,0.8713089,0.9436555,0.9158953,0.864758,0.8384117,0.8644766,0.8399469,0.8739989,0.8847902,0.8362177,0.8070046,0.7985015,0.8601692,0.8444356,0.8867242,0.8254393,0.8954838,0.8913921,0.9133837,0.8736557,0.8652808,0.8969578,0.9061424,0.9117775,0.8648329,"chr20"
"cg17550009",0.9311886,0.9307456,0.9217947,0.927237,0.9396531,0.9361248,0.9339739,0.949815,0.9194245,0.9433647,0.9446469,0.9090965,0.9182329,0.9215196,0.8945833,0.8733266,0.8937441,0.9335333,0.9470207,0.9182879,0.8942057,0.9438848,0.9467102,0.848312,0.9304115,0.8938769,0.9131869,0.8939141,0.9290957,0.8954305,0.9234066,0.9304948,0.8929273,0.9357266,0.9292779,0.9291933,0.9260963,0.8782399,0.9345741,0.9441257,0.9104908,0.9387842,0.9181446,0.9476741,0.9229479,0.8615456,0.8841886,0.9476492,0.9360445,0.9316842,0.929633,0.9161815,0.8871279,0.9316168,0.9362469,0.9178089,0.8831425,0.9405928,0.920535,0.9277953,0.8844573,0.9279487,0.9132878,0.9168058,0.9221784,0.9223258,0.9296664,0.9273995,0.8866493,0.91832,0.9349593,0.9100046,0.9199106,0.9556397,0.9305464,0.9487899,0.9160266,0.9580891,0.877844,0.918698,0.8990272,0.9051399,0.9038557,0.9145501,0.9377051,0.9103453,0.9379968,0.8890426,0.8927652,0.8985277,0.9154077,0.8817822,0.9278431,0.9339359,0.8841441,0.8561022,0.9080246,0.9352624,0.9216964,0.8939096,0.9429775,0.9308782,0.9132823,0.8798527,0.9093624,0.9413871,0.9387147,0.9494907,0.9425258,0.882774,0.9271819,0.9344204,0.8698059,0.9377037,0.9361674,0.913191,0.9412843,0.9322749,0.9116508,0.920286,0.8548481,0.8854707,0.887566,0.9307289,0.9027484,0.9182086,0.9197317,0.9004825,0.8666341,0.9384835,0.9231829,0.9468289,0.9293184,0.9544367,0.9235509,0.9380683,0.934761,0.9221763,0.9538707,0.9346844,0.8953268,0.9514417,"chr20"
"cg15440392",0.01049858,0.006629745,0.01023962,0.004552575,0.006123726,0.009407119,0.006902629,0.005896664,0.003512881,0.004776875,0.006573038,0.009016072,0.003116329,0.02212776,0.008331799,0.004787703,0.005767434,0.005523005,0.005918868,0.00524921,0.006178758,0.0103912,0.008439876,0.005533964,0.005621441,0.00599012,0.006545792,0.006775334,0.00588192,0.008333006,0.01273589,0.006887487,0.005629838,0.009693053,0.005958608,0.005103739,0.007560803,0.007511699,0.006078888,4.298487e-05,0.01133753,0.005968622,0.007870388,0.007171016,0.006063947,0.005807372,0.008556734,0.006701254,0.004965753,0.005119587,0.01015325,0.008522366,4.298487e-05,0.00802429,0.01222255,0.0103876,0.008940023,0.00620744,0.005002521,0.00987219,0.009420511,0.008225289,0.01078588,0.006034588,0.00712897,0.006522903,0.006394763,0.00725843,0.007825864,0.003449528,0.006679824,0.004311774,0.007440031,0.007170231,0.009266644,0.005051416,0.00852324,0.007409379,0.008818277,0.004819277,0.01230255,0.0008971426,0.01178957,0.007065167,0.007113821,0.005261814,0.0112096,0.004169997,0.004303121,0.003585642,0.006468118,0.003178014,0.009630401,0.009807113,0.008984889,0.005576353,0.006415777,0.003977486,0.009355937,0.009335265,0.00556964,0.008122631,0.006057629,0.004849698,0.00585274,0.005540328,0.01048991,0.006146012,0.006556173,0.007511052,0.00768418,0.006828965,0.008416022,0.006627076,0.01158586,0.007768666,0.008324084,0.01012326,0.008442023,0.007204323,0.008612093,0.003157639,0.004879912,0.005105707,0.009228806,0.01054675,0.004728033,0.008393427,0.01119515,0.005933097,0.01176586,0.00885464,0.008452414,0.006184785,0.007180058,0.003939735,0.003755007,0.0004904365,0.006339336,0.008917606,0.007875379,0.007023411,"chr20"
"cg15869923",0.9515085,0.9809425,0.9666434,0.9589298,0.9334772,0.9448855,0.9615955,0.9709238,0.9564795,0.9754766,0.9736162,0.9872024,0.9799927,0.9758458,0.9864061,0.9682327,0.9316182,0.9532745,0.9366976,0.9761045,0.9522872,0.9688884,0.9654435,0.9749641,0.9651564,0.9705137,0.922786,0.9567443,0.9500574,0.9575715,0.965634,0.9567052,0.9636753,0.9584426,0.9738819,0.9330388,0.9708402,0.9515595,0.9582222,0.9788271,0.9595647,0.9405283,0.948109,0.9617418,0.9893299,0.9664425,0.9627815,0.9651142,0.9410102,0.9569666,0.9732576,0.9643821,0.9554461,0.9539699,0.9376732,0.9400982,0.9492538,0.9555507,0.9543899,0.9551563,0.9400552,0.9780149,0.972909,0.9791282,0.9667009,0.9645776,0.9628442,0.9844291,0.9773873,0.973083,0.9568406,0.9787673,0.9614748,0.9705633,0.9447186,0.9745428,0.9662339,0.955711,0.9403803,0.9734553,0.9796481,0.973072,0.9441657,0.9793139,0.9680395,0.9644498,0.9762873,0.9591977,0.9634468,0.9642006,0.9751283,0.9477708,0.973496,0.9557818,0.9753171,0.947052,0.970596,0.9619591,0.9647331,0.9555653,0.9596539,0.9551692,0.9448127,0.9660212,0.9654935,0.9496171,0.9491217,0.97541,0.9705056,0.9417397,0.9631029,0.967665,0.9485661,0.95167,0.9708363,0.9464303,0.9788657,0.9533475,0.9207984,0.946231,0.9356531,0.9793759,0.9621756,0.9584574,0.9431456,0.9674839,0.9828585,0.9646337,0.9731575,0.9601684,0.9725138,0.9794543,0.958117,0.9869128,0.9335514,0.9753894,0.9684751,0.9610503,0.9671076,0.9488866,0.9688428,0.9590503,"chr20"
