,PDD38,CTRL61,PDD23,PDD21,PD29,PD5,CTRL88,PD41,PDD39,PD11,PDD26,PDD25,PD1,CTRL24,PD55,CTRL15,CTRL63,PDD60,PDD51,PDD43,PD14,PDD5,PD37,CTRL80,PDD74,CTRL62,PD3,CTRL39,CTRL97,PD47,DLB17,DLB2,CTRL35,PD8,CTRL51,CTRL77,CTRL68,PDD24,CTRL19,PDD13,CTRL43,DLB11,PDD58,CTRL42,PDD53,PD40,PDD44,PD6,CTRL1,PD35,PDD41,PDD70,PD59,PDD28,CTRL78,CTRL64,PD48,PD21,CTRL95,CTRL57,PDD30,PDD22,DLB15,PD50,CTRL29,PDD54,PDD27,DLB24,PD23,PD30,PDD15,CTRL50,CTRL93,PDD35,CTRL73,PDD6,CTRL13,PDD73,CTRL81,CTRL33,PDD49,PD27,PDD4,PD58,CTRL85,PD52,PD60,PD61,CTRL11,CTRL40,DLB35,PD9,CTRL79,PDD61,PD56,CTRL55,CTRL37,CTRL82,CTRL32,PD2,PD54,CTRL48,PD49,PDD69,PD45,CTRL12,PD33,PD51,PD13,PDD45,PD20,CTRL83,PDD7,CTRL71,PDD47,PD32,CTRL6,CTRL46,PD17,PDD10,DLB12,CTRL44,CTRL86,DLB27,PD18,CTRL20,PDD50,DLB21,CTRL53,CTRL65,PD38,CTRL18,PDD36,PDD64,PD42,PDD33,PDD65,PD62,PDD77,PDD2,PD25,DLB14
cg10075524,0.9062378,0.7832265,0.866696,0.8958557,0.860853,0.8826157,0.9090479,0.893023,0.7969662,0.9130395,0.8900524,0.8430459,0.8753231,0.831077,0.8788233,0.8117301,0.9192679,0.8721696,0.870488,0.8324144,0.8580509,0.8468008,0.8893553,0.9067204,0.862643,0.8681106,0.8745891,0.8794837,0.8333107,0.8235707,0.8616064,0.8798274,0.8710797,0.8837364,0.8379317,0.8370481,0.8374206,0.8792683,0.8758773,0.914833,0.8695484,0.8884838,0.8806951,0.8742287,0.8566385,0.8665427,0.8836698,0.9204988,0.8465676,0.8253134,0.8705826,0.8839111,0.8840775,0.9052869,0.9136383,0.8595909,0.8275442,0.9243867,0.8580731,0.8494112,0.8731744,0.909704,0.8136781,0.8651645,0.7739438,0.8777162,0.8985543,0.8464542,0.8909338,0.9229045,0.9100939,0.8820175,0.8521906,0.8661036,0.8846395,0.8810637,0.8212296,0.8954919,0.8647624,0.8739799,0.8787394,0.8068546,0.8639844,0.8684153,0.8631263,0.9007025,0.8628429,0.8582356,0.8915695,0.8761727,0.8699135,0.9088986,0.8839036,0.8407885,0.894052,0.8545613,0.9003934,0.8791578,0.875687,0.8950325,0.8347181,0.7899385,0.904339,0.8453394,0.836658,0.8721118,0.8295651,0.7966314,0.9202575,0.9164641,0.9031818,0.8288602,0.8865135,0.8921929,0.8745923,0.8201475,0.9110503,0.8607589,0.915875,0.8894754,0.872939,0.8810601,0.8845677,0.8683015,0.8778046,0.8868257,0.7832741,0.838154,0.8720245,0.8632811,0.8834885,0.8857251,0.866635,0.8817427,0.8643274,0.881086,0.8879215,0.8850703,0.922954,0.918946,0.8718166,0.8698193
cg03544042,0.006532432,0.01216076,0.01458015,0.02313108,0.01259595,0.01561161,0.01475575,0.01328564,0.006709507,0.01920542,0.01136925,0.01138647,0.01813143,0.0100843,0.01186304,0.01046935,0.01795758,0.009485697,0.01779996,0.01037911,0.01784849,0.02097556,0.02343414,0.01807839,0.01638432,0.006774442,0.01561295,0.01601774,0.008287117,0.01125388,0.01381777,0.01696099,0.01338259,0.01426905,0.004992096,0.01291188,0.02979275,0.001207405,0.01370278,0.0124911,0.02168656,0.01206828,0.01355774,0.01495882,0.01182226,0.01133098,0.01698575,0.01609877,0.01565731,0.01557587,0.01089282,0.01743824,0.008603239,0.0194745,0.01242387,0.01191395,0.02417948,0.00907544,0.01534056,0.01024605,0.01311716,0.01044694,0.01480944,0.0004324885,0.008218188,0.01210674,0.01622153,0.01149311,0.01678121,0.01667671,0.01780982,0.01295014,0.01888691,0.03391693,0.02173544,0.01270806,0.02280262,0.01324342,0.01441646,0.01813857,0.009547903,0.008168709,0.02382685,0.01030699,0.01107697,0.00731982,0.01237551,0.02506714,0.01131898,0.01270812,0.006211756,0.02932804,0.01040181,0.01310571,0.0163252,0.01926201,0.01659785,0.0119902,0.005579587,0.02151888,0.0105113,0.0113204,0.01083685,0.01123233,0.01269813,0.02092488,0.01832341,0.01497058,0.01637722,0.01995723,0.01482245,0.01669167,0.02288834,0.01040634,0.005701615,0.01398754,0.01732004,0.0107949,0.01719785,0.01339938,0.01182197,0.01405232,0.007973846,0.0122773,0.01506903,0.009151292,0.02517527,0.01440622,0.005879984,0.01614753,0.0192984,0.01134145,0.02323,0.01091026,0.01204928,0.003556705,0.01226801,0.0186135,0.01140735,0.01762523,0.01179283,0.01141593
cg07175786,0.9542153,0.9080566,0.9649342,0.9633395,0.9575448,0.9353072,0.9187284,0.9113118,0.9543989,0.9651928,0.9423666,0.9550304,0.9511457,0.9597004,0.9767773,0.9632156,0.9520144,0.9344887,0.8831092,0.972258,0.9472787,0.9272838,0.9785165,0.876583,0.9669055,0.9530443,0.8994837,0.9416542,0.9532633,0.9213232,0.9161416,0.9273882,0.9651009,0.9550339,0.9726708,0.9488337,0.9635689,0.9586279,0.9593368,0.9700347,0.9454737,0.9685328,0.9152392,0.957302,0.960542,0.9564005,0.9575586,0.9478704,0.9488193,0.9687422,0.9640835,0.9384918,0.973864,0.9539348,0.9084039,0.9390275,0.9580369,0.9531787,0.9581839,0.9808805,0.9433332,0.961556,0.9312502,0.9422126,0.9489816,0.9606041,0.9386199,0.9629952,0.9493522,0.9686127,0.9291156,0.9513202,0.9411631,0.9444024,0.9343401,0.9473803,0.9567879,0.9415375,0.9478481,0.9608245,0.9659989,0.9475129,0.9215868,0.9397874,0.9665657,0.9617217,0.9530558,0.9602839,0.9651883,0.9613781,0.9464643,0.9237285,0.9110239,0.9701203,0.9560747,0.9523844,0.9664946,0.9325669,0.9589506,0.9481895,0.968531,0.913875,0.9371722,0.9567988,0.9499885,0.9466432,0.9548727,0.9570975,0.950781,0.9388613,0.9563882,0.9357756,0.9237583,0.9403791,0.9231961,0.9694868,0.9678737,0.9493064,0.9485278,0.9389429,0.9700785,0.9449217,0.9576767,0.9176057,0.9638543,0.9595763,0.9779954,0.9298094,0.9456502,0.9398685,0.9587825,0.9547192,0.9333122,0.9498843,0.953162,0.9485726,0.9330657,0.955202,0.9574023,0.9611312,0.9454604,0.9526104
cg23203273,0.6520482,0.8893416,0.7022295,0.7635948,0.6318239,0.7698723,0.6894833,0.7164527,0.5431719,0.73285,0.6455023,0.800598,0.7464403,0.6507131,0.6788456,0.6630985,0.9193449,0.7638958,0.6161174,0.5932545,0.8306535,0.8253168,0.6872877,0.7472201,0.6912936,0.837133,0.8537992,0.8124611,0.8278513,0.6725177,0.8023005,0.7410614,0.7811026,0.800975,0.7658915,0.5967017,0.7223415,0.7163865,0.7445786,0.6751695,0.7442545,0.6905069,0.801939,0.8414006,0.7196611,0.6725207,0.6868296,0.7541906,0.7034381,0.7734567,0.7014271,0.8440908,0.7412117,0.7693504,0.8919277,0.7848409,0.6767989,0.7770213,0.8751313,0.744265,0.6804025,0.6404781,0.704976,0.8183461,0.5717563,0.7479941,0.8697796,0.6820113,0.7332359,0.7976378,0.6018251,0.6670401,0.6200582,0.7860497,0.703345,0.7238983,0.7487392,0.7972861,0.7736863,0.7218784,0.6352233,0.6714496,0.7501368,0.6830369,0.6626886,0.5806112,0.7874896,0.6655051,0.6768933,0.841233,0.8033007,0.6832654,0.7613387,0.7492146,0.7601001,0.7609429,0.6406328,0.7093884,0.6538578,0.7021616,0.6104906,0.5657701,0.6772088,0.7994644,0.7777847,0.6820643,0.6909112,0.7685079,0.58064,0.7339047,0.7509169,0.7465144,0.7523851,0.8690515,0.8741226,0.6727284,0.6267211,0.8162501,0.8213643,0.7164452,0.6125144,0.7274445,0.691819,0.6204394,0.7146879,0.7289806,0.6968627,0.6355095,0.6905849,0.7674084,0.7687841,0.5188626,0.8384035,0.8529109,0.6830094,0.6773301,0.7763387,0.7622087,0.7457902,0.7020494,0.7795305,0.7289989
cg22719250,0.9801475,0.9641541,0.9711436,0.9695765,0.9682744,0.9488278,0.9629664,0.9687242,0.9638699,0.9700057,0.9493164,0.9509146,0.9622676,0.9579865,0.9742302,0.9530083,0.9709443,0.9648708,0.9650685,0.9458805,0.9779303,0.9405418,0.9704421,0.973909,0.9653506,0.9703444,0.9600232,0.9708596,0.9566077,0.9454412,0.9486252,0.9552225,0.9701018,0.9506493,0.9691279,0.9512984,0.9555514,0.9733692,0.9700532,0.954818,0.9708579,0.9799811,0.9435843,0.9573333,0.9662376,0.9610556,0.9550848,0.9750485,0.9537364,0.9743081,0.9725661,0.9679362,0.9634038,0.9667053,0.958496,0.9262526,0.962537,0.9661174,0.9609174,0.9683312,0.958453,0.9646674,0.9513045,0.9665826,0.9681685,0.9657736,0.9788088,0.9363251,0.9437997,0.929424,0.9562578,0.9500144,0.9606429,0.9693379,0.9630265,0.9688351,0.9668827,0.9640674,0.9391316,0.9653156,0.9686521,0.9592454,0.959105,0.9195352,0.9516197,0.9718472,0.9626592,0.9692529,0.9562155,0.938645,0.9503296,0.9616006,0.9720309,0.9372438,0.9598234,0.9654556,0.9471887,0.9744308,0.9728176,0.9787882,0.9845522,0.9394763,0.9641676,0.9796542,0.9677737,0.95441,0.9655395,0.9768848,0.9655887,0.9654762,0.9502957,0.9631666,0.9577024,0.9685505,0.9618579,0.9547733,0.9769235,0.9485866,0.9723993,0.9592738,0.9820964,0.9467141,0.9539907,0.9505326,0.9584162,0.9606548,0.9155538,0.948621,0.9742549,0.9593736,0.9676054,0.956641,0.9756098,0.9584193,0.9630801,0.9585278,0.9559105,0.9635137,0.94944,0.9731324,0.9606277,0.9685105
cg03867871,0.01515992,0.0118806,0.02653066,0.01399666,0.02450981,0.03530009,0.01344796,0.008201528,0.006621213,0.005805649,0.01063209,0.0157212,0.006287225,0.01753334,0.0004202777,0.00641216,0.01819125,0.005581809,0.007717784,0.01128102,0.01089725,0.02467673,0.01487488,0.01318797,0.01090574,0.008292041,0.03282307,0.01581316,0.00736559,0.02213359,0.03059315,0.0381997,0.008841922,0.01437525,0.006483008,0.01640648,0.02472831,0.02852987,0.0128931,0.01127012,0.03497534,0.008853119,0.01035247,0.01400709,0.0105157,0.02056805,0.01696777,0.02454084,0.02334835,0.007233435,0.01188053,0.009013285,0.007305546,0.02153285,0.02136506,0.009792533,0.01867554,0.01795953,0.004594335,0.0146976,0.01329126,0.008749197,0.02802714,0.01786447,0.01537684,0.01639142,0.008266063,0.009378242,0.01340999,0.007628723,0.01915706,0.02505149,0.005324165,0.01923826,0.0147248,0.00732241,0.01051307,0.03817525,0.0109096,0.01215675,0.01073793,0.01114785,0.02000081,0.01709336,0.01100377,0.01284062,0.01867162,0.008483872,0.01859484,0.0217276,0.0205929,0.02643194,0.0149406,0.0199613,0.004810477,0.009697934,0.008799556,0.01789209,0.009892167,0.0217962,0.01187059,0.02134027,0.01156262,0.01932185,0.0121981,0.026422,0.01149824,0.00635024,0.007055493,0.01312739,0.008444346,0.01592843,0.0279325,0.01580674,0.01460168,0.01696744,0.02263583,0.01146405,0.0147201,0.04115646,0.01441013,0.02722839,0.007567381,0.0102373,0.01738265,0.01347129,0.01739841,0.004619017,0.01707248,0.007035821,0.02433042,0.003352924,0.02415368,0.01705723,0.0114278,0.01056342,0.01328073,0.01876067,0.01174427,0.04627558,0.01122889,0.006727414
cg07782630,0.01698552,0.01829716,0.01295304,0.01013176,0.01589228,0.03349841,0.0149011,0.01055978,0.01697631,0.00834897,0.008484329,0.01228179,0.01044683,0.01725876,0.01943293,0.01334361,0.01378185,0.02071325,0.0177072,0.02164352,0.01649315,0.01719351,0.02799345,0.01637043,0.01808019,0.01092647,0.04188248,0.02583223,0.02327403,0.02322063,0.02061464,0.01245296,0.01747004,0.02566591,0.01597011,0.009440776,0.01728076,0.01385405,0.01597642,0.01245195,0.01985761,0.01591067,0.02711459,0.02805086,0.0230568,0.01615345,0.0146178,0.02373663,0.02457694,0.0310871,0.01408981,0.02300466,0.02397321,0.01080835,0.02458187,0.009462031,0.02525085,0.02424064,0.02020224,0.02436679,0.02482582,0.01924892,0.02571339,0.0203186,0.01763188,0.01324663,0.01350288,0.01234005,0.01751466,0.01696951,0.03135164,0.01849442,0.01607897,0.01704502,0.01766631,0.01481723,0.02035489,0.008957702,0.0208798,0.01157203,0.01867314,0.01712664,0.02949005,0.01342253,0.02478597,0.01511265,0.01601757,0.01705825,0.01342035,0.02106507,0.0152809,0.01928375,0.009873119,0.02298693,0.01939115,0.01280142,0.02000979,0.01484471,0.02392343,0.02506436,0.02418222,0.03052198,0.01457862,0.0139841,0.01706011,0.02055839,0.02206538,0.01426663,0.01336791,0.02427399,0.02695223,0.02274582,0.01911626,0.01588467,0.01703059,0.02137615,0.02317808,0.02275827,0.01677054,0.02223847,0.01656732,0.02203068,0.01412953,0.01628393,0.01561029,0.007721323,0.01773092,0.01541853,0.01480876,0.02907378,0.02218396,0.01734962,0.02705982,0.01821937,0.02422097,0.01909678,0.01481719,0.01605429,0.01471046,0.0176267,0.009927332,0.01522679
cg23029491,0.0206326,0.01877439,0.00726234,0.008894162,0.02967612,0.02435618,0.0155275,0.0124265,0.03107074,0.01395717,0.01645626,0.01518291,0.008471653,0.01824397,0.01231092,0.01800652,0.01220268,0.02701552,0.01845117,0.01396211,0.01666468,0.02489743,0.01967292,0.02335139,0.01350245,0.02529243,0.03753554,0.009266009,0.01939984,0.02446499,0.01730871,0.02892973,0.007580473,0.02137144,0.007868805,0.009104865,0.0288022,0.02326796,0.01355722,0.009219702,0.01393499,0.01796397,0.01693908,0.01205926,0.016748,0.03961053,0.01210157,0.02573736,0.02901566,0.01582975,0.01693848,0.01322261,0.01172671,0.02229846,0.02977149,0.02518588,0.01960378,0.03028432,0.01139996,0.02070027,0.02525323,0.01859473,0.01106696,0.02211157,0.01244098,0.01826762,0.02158796,0.022171,0.01675883,0.0263032,0.02994167,0.01792597,0.01445687,0.01746328,0.03046672,0.01474152,0.01927673,0.01212956,0.01840874,0.0180723,0.02156573,0.01166959,0.02608416,0.009890989,0.01365956,0.008129534,0.01315731,0.01360696,0.01625754,0.01350956,0.01657477,0.03651995,0.01701467,0.0128776,0.008316059,0.01506105,0.008163005,0.006859565,0.02023671,0.02789035,0.003695171,0.0222383,0.01875731,0.01601793,0.01093413,0.02623345,0.01437801,0.008545891,0.02461625,0.0304901,0.01811393,0.011208,0.01829558,0.01754618,0.02626951,0.02293386,0.0137081,0.01659431,0.01863258,0.01823754,0.02551026,0.01016201,0.01673968,0.02378106,0.01489347,0.01560385,0.01931477,0.01888249,0.01906772,0.01331189,0.01996467,0.028358,0.02296312,0.008021112,0.02974011,0.01148375,0.01623032,0.01584332,0.02565999,0.03309952,0.01420628,0.03026706
cg11116440,0.01125569,0.01156954,0.01431064,0.01187146,0.02432687,0.0138434,0.00707881,0.01505014,0.01034227,0.02622904,0.01505083,0.008895042,0.009939448,0.01300195,0.003565728,0.01683851,0.00609309,0.02327957,0.008525781,0.01001698,0.007935997,0.03103875,0.01386471,0.01524897,0.005347639,0.005117264,0.009566466,0.01087686,0.01806077,0.01159669,0.01425859,0.007833577,0.0150369,0.01775481,0.006702401,0.01628033,0.003638157,0.02850115,0.008318274,0.01789406,0.009003809,0.008767788,0.00847736,0.007321366,0.01348138,0.01417017,0.007458405,0.01761249,0.01533526,0.0112088,0.01274664,0.004969618,0.01252139,0.007037344,0.01437327,0.0101774,0.01539195,0.008895961,0.02157293,0.0145512,0.01289919,0.006797659,0.01182952,0.01725657,0.01143502,0.02023575,0.01161944,0.01125309,0.01537003,0.0174142,0.02363739,0.01384332,0.01428721,0.02137762,0.01558844,0.009190195,0.015167,0.009089229,0.01898516,0.01207755,0.005668197,0.007889509,0.01787613,0.01007511,0.01607303,0.006062933,0.01564265,0.01408009,0.01043319,0.007231446,0.02026557,0.02004579,0.01236938,0.008904781,0.01108494,0.01159647,0.01323286,0.01093038,0.01962981,0.02468865,0.008181197,0.01709789,0.0174378,0.0137322,0.01932809,0.01319703,0.01399409,0.01350854,0.00937167,0.004134865,0.01133413,0.01076669,0.01372011,0.008026118,0.006760141,0.01772023,0.006193879,0.01898655,0.01287806,0.02937465,0.01039866,0.01798911,0.01345981,0.02558854,0.01230715,0.01658647,0.01273549,0.004895695,0.008416806,0.01387771,0.01292362,0.00771263,0.01692693,0.01582022,0.002023268,0.01663736,0.007003165,0.008806114,0.01933628,0.01923175,0.002453616,0.00696683
cg21180002,0.9510913,0.9531959,0.9447851,0.9276049,0.8394892,0.9230929,0.9355717,0.9424204,0.9391896,0.9381718,0.970603,0.9057489,0.9641308,0.9121769,0.9354447,0.9247466,0.9088321,0.8952252,0.957963,0.9212187,0.8807769,0.8410962,0.9392036,0.9359803,0.8867285,0.9110717,0.8842454,0.918089,0.9206329,0.9072601,0.861631,0.9166617,0.9519369,0.9463203,0.9164444,0.914578,0.9594323,0.881932,0.9634223,0.8959584,0.9307566,0.9318485,0.9138744,0.9453935,0.9267231,0.8961107,0.9225193,0.9100759,0.9010101,0.9055686,0.9342071,0.9360926,0.9306894,0.91152,0.9289869,0.7980094,0.9177724,0.9048739,0.9117488,0.9183202,0.9315516,0.9548053,0.9402562,0.9488868,0.9078488,0.9159221,0.9229795,0.9364044,0.8994489,0.9204536,0.9338421,0.9338244,0.865893,0.9100558,0.887205,0.9401819,0.914386,0.9045722,0.9402645,0.9092182,0.9586473,0.8783973,0.9054573,0.9024414,0.9082255,0.9629182,0.9210237,0.9291858,0.9122932,0.8945325,0.9315071,0.8714978,0.9297738,0.9450949,0.9567877,0.8905707,0.9391546,0.933175,0.9102311,0.8953745,0.9335146,0.8893529,0.8722147,0.8978655,0.9256302,0.9098268,0.9398003,0.8789757,0.9116727,0.9030025,0.9299413,0.8692198,0.9015083,0.8958216,0.9105424,0.9356367,0.9593865,0.8958466,0.8938549,0.8829966,0.8850248,0.9572606,0.9175162,0.910048,0.9320198,0.9365812,0.9333519,0.8847766,0.8708385,0.9459799,0.8924395,0.9486654,0.9147335,0.9052212,0.9502019,0.9029397,0.9378255,0.8959314,0.9234457,0.9236416,0.9550384,0.9130665
