"","cg17805199","cg07996485","cg10138044","cg23834525","cg23657782","cg21951848","cg13874979","cg05348770","cg06952719","cg06998282","cg14904079","cg00140235","cg05313680","cg00391977","cg23882019","cg13690038","cg20357416","cg14723638","cg15175129","cg14318068","cg01674530","cg12372924","cg21598294","cg09060462","cg07253510","cg08467643","cg24665412","cg11280964","cg11163901","cg18127922","cg02941135","cg02097462","cg18880384","cg01947949","cg14144850","cg14856606","cg04030905","cg22181664","cg10762038","cg11312462","cg02853470","cg25936334","cg01753595","cg16985117","cg27312391","cg20936920","cg24517989","cg11971077","cg12635019","cg08368441","cg26115216","cg17159550","cg05788267","cg09584003","cg13773306","cg22364932","cg16941122","cg16959863","cg13871037","cg24855045","cg14350358","cg07755528","cg03321592","cg22200330","cg14855519","cg03967521","cg07642754","cg08485937","cg00901585","cg25284031","cg06410591","cg23092527","cg22053720","cg25981350","cg21595526","cg09508356","cg20075042","cg08685832","cg05652783","cg20850582","cg24683035","cg19259574","cg15283292","cg15197657","cg24767698","cg07904447","cg00271390","cg10687936","cg24384430","cg18014247","cg23411587","cg00612672","cg03678860","cg10657611","cg05747963","cg16085649","cg22806431","cg15310800","cg11341440"
"PDD38",0.7024201,0.945312,0.8011689,0.08409271,0.9567644,0.929641,0.97635,0.9645335,0.03789176,0.06384574,0.9611835,0.007388611,0.7288733,0.5287801,0.7253367,0.007524621,0.7936857,0.5925389,0.1862449,0.8691964,0.6284756,0.9787117,0.9771158,0.0621474,0.9679939,0.8354702,0.9375582,0.02554169,0.01122661,0.3349724,0.5913114,0.8711571,0.4094878,0.05784644,0.9116448,0.9234786,0.01854773,0.9224026,0.901492,0.8254631,0.872398,0.0741814,0.2984273,0.8474348,0.9800309,0.9115655,0.7543403,0.01648196,0.1670739,0.02043222,0.8643048,0.7078835,0.9562711,0.6158016,0.7673806,0.9635666,0.6536806,0.960196,0.9380706,0.7279648,0.8757887,0.6305289,0.03297453,0.03131288,0.1631585,0.004280744,0.7954412,0.9282158,0.9003445,0.8272701,0.1072369,0.9615163,0.6181945,0.610957,0.009882701,0.6805641,0.8804085,0.9521732,0.9578144,0.02695035,0.01024867,0.0231748,0.9521215,0.4409762,0.9162156,0.0280196,0.9376271,0.9402773,0.09486785,0.01955786,0.9584948,0.8787557,0.885101,0.9500499,0.9549537,0.4368394,0.6949841,0.929491,0.907526
"CTRL61",0.6783089,0.9282933,0.8101237,0.06589156,0.9753684,0.9516287,0.963586,0.9604855,0.02695556,0.01346789,0.9098855,0.006471786,0.8177573,0.3884809,0.7099833,0.009945972,0.7828489,0.7496121,0.221219,0.8152806,0.6086938,0.9682326,0.9664546,0.07514323,0.9290667,0.870397,0.8956672,0.02158749,0.009502198,0.2980935,0.473358,0.7565544,0.4782085,0.02663131,0.8620368,0.8669251,0.008042587,0.9117333,0.9072339,0.8449652,0.8476527,0.06506399,0.3097359,0.8758674,0.9771685,0.9425799,0.6600246,0.004583283,0.2088994,0.0189184,0.8448276,0.569329,0.937954,0.5864502,0.6843371,0.9736735,0.5790416,0.9151714,0.9353713,0.6821771,0.8407857,0.5939074,0.01154565,0.01457808,0.177122,0.00279495,0.6701659,0.9345542,0.8167889,0.8005171,0.1621943,0.9525759,0.6664237,0.42592,0.00190096,0.639887,0.9239198,0.9357267,0.9579757,0.03003763,0.01439019,0.02694366,0.91287,0.4027723,0.8915971,0.02377479,0.9290552,0.9514473,0.03411389,0.01366271,0.9752644,0.9111287,0.8740343,0.9575264,0.9370173,0.4143732,0.5866838,0.9123868,0.840785
"PDD23",0.7022853,0.9500215,0.8753603,0.05590686,0.9684569,0.9580069,0.9611223,0.9777821,0.02309741,0.01654682,0.8544587,0.006154748,0.823363,0.4806349,0.6699717,0.01100597,0.7915845,0.6749897,0.2761302,0.8479073,0.6140705,0.9862861,0.9790704,0.03695025,0.9658624,0.9094194,0.9226725,0.01558266,0.00545694,0.3754685,0.5765845,0.8119256,0.5016051,0.08861454,0.8933736,0.8527451,0.005726054,0.9335689,0.9134856,0.8895415,0.8839063,0.05002952,0.316725,0.8766495,0.9781887,0.950898,0.7248372,0.005173078,0.2167339,0.0149312,0.8592183,0.5157365,0.9647934,0.6441036,0.7049978,0.9767353,0.631839,0.9302761,0.9474707,0.6590255,0.8224917,0.5933508,0.02599452,0.01542209,0.1349469,0.003365721,0.8009308,0.9280327,0.8548673,0.8700493,0.1134096,0.9668308,0.7280386,0.5134757,0.009828976,0.6673397,0.9398725,0.9515759,0.9708541,0.02858656,0.007746741,0.02638395,0.9395697,0.4885258,0.8885718,0.02919373,0.9448989,0.9231701,0.04100656,0.01277281,0.9499942,0.8685685,0.8394328,0.9493562,0.9691513,0.4979271,0.6289392,0.9352952,0.9587916
"PDD21",0.6536329,0.9380581,0.8707734,0.09644524,0.9536484,0.9218963,0.9869396,0.9874998,0.006322328,0.04909073,0.9740935,0.004833642,0.8183128,0.4755886,0.7472688,0.01378924,0.7958734,0.5688392,0.289502,0.8729093,0.578982,0.9695931,0.9467448,0.07106387,0.9616306,0.9149294,0.9061992,0.01773692,0.01156069,0.2282783,0.6235027,0.9195981,0.4592811,0.04612018,0.8685298,0.8136284,0.01261787,0.9192018,0.9491319,0.8512343,0.8840469,0.06979427,0.2041869,0.8991954,0.9730647,0.9635615,0.5683814,0.007322043,0.1496872,0.03138969,0.9114746,0.7173809,0.9238336,0.7776507,0.5893895,0.9752477,0.6648759,0.9568545,0.9219043,0.839168,0.9115399,0.6782391,0.03751617,0.03743397,0.1680086,0.003360537,0.8133235,0.9070525,0.8100221,0.8232691,0.1197896,0.9574281,0.6813926,0.7092029,0.009951881,0.54434,0.9338431,0.9658042,0.7779271,0.02699272,0.009601495,0.03016391,0.9471914,0.3815804,0.9355189,0.02971187,0.9576963,0.9288896,0.09019912,0.01143013,0.9835115,0.9126834,0.901941,0.9458565,0.9477734,0.3479983,0.7511728,0.9560847,0.9150494
"PD29",0.6738008,0.9147337,0.799062,0.08886419,0.9704687,0.9457033,0.9614159,0.9562743,0.03472317,0.005598126,0.9039592,0.001916233,0.7458741,0.3909604,0.5818731,0.009597806,0.696902,0.6991455,0.1980129,0.8587174,0.5242274,0.9746915,0.9359633,0.06762969,0.9460458,0.8498578,0.9073833,0.0402745,0.01591986,0.3886598,0.506772,0.780575,0.5533235,0.03905073,0.8998327,0.8060527,0.01859513,0.9047848,0.8269169,0.7999175,0.902683,0.06615044,0.2548858,0.8269557,0.9757192,0.9286342,0.5769079,0.009381147,0.2014055,0.02478393,0.912993,0.6247436,0.9550685,0.6461868,0.6024619,0.9564427,0.5646881,0.9348601,0.9001501,0.6854033,0.7794418,0.5874135,0.04872096,0.03296357,0.2593176,0.004761375,0.8073605,0.8937237,0.8407481,0.769143,0.1227523,0.9792485,0.650726,0.6312404,0.01465387,0.6902969,0.8991392,0.9088781,0.8828804,0.02571232,0.002315747,0.0258518,0.8904615,0.4070749,0.8813692,0.03758446,0.917595,0.9732756,0.05523432,0.009592661,0.9536496,0.7707124,0.7903614,0.9534889,0.9347489,0.3844375,0.6403628,0.8785709,0.8204056
"PD5",0.653777,0.9572713,0.8128877,0.09057767,0.9302993,0.9425849,0.9533966,0.9539041,0.03225012,0.07452213,0.9130241,0.01802907,0.8777588,0.489349,0.8107171,0.02968338,0.750858,0.6265706,0.2780514,0.8952018,0.5327889,0.9315284,0.9561863,0.1200233,0.9380177,0.9117245,0.8625133,0.03427741,0.02161857,0.313187,0.5600238,0.8077138,0.414139,0.06650718,0.8622962,0.8262409,0.01832921,0.9142883,0.9010083,0.8904024,0.8774167,0.06756245,0.2756858,0.9187767,0.9606142,0.8702174,0.7141992,0.01679862,0.1065205,0.03059405,0.8637524,0.5960937,0.9147795,0.7444447,0.567208,0.9607178,0.5931889,0.9317082,0.9207347,0.7517264,0.8922476,0.7004497,0.04034616,0.04531171,0.158845,0.008329877,0.7613787,0.9121008,0.8706887,0.8185055,0.1214741,0.9512346,0.6676366,0.481856,0.01932166,0.6207534,0.9167781,0.9356054,0.8323403,0.04184024,0.01371921,0.03109501,0.9328289,0.3556658,0.8791902,0.02606423,0.9539149,0.9082346,0.09177462,0.02155019,0.9118668,0.8553398,0.8388438,0.9523493,0.9365108,0.4421731,0.726258,0.9368885,0.8911659
"CTRL88",0.7297638,0.9053922,0.8954471,0.06959204,0.9721798,0.962925,0.9713336,0.9703538,0.03516814,0.03051385,0.939762,0.01211762,0.7969598,0.4494339,0.6513199,0.009019701,0.83193,0.6780225,0.2408661,0.8283366,0.5927005,0.9729442,0.985309,0.08384755,0.9225053,0.9148486,0.9447444,0.04283204,0.009088132,0.2956886,0.5714012,0.8326115,0.5955557,0.06652807,0.8890805,0.8991182,0.01464944,0.874967,0.8740136,0.853053,0.8920279,0.05259609,0.3210308,0.8417654,0.9705953,0.9180589,0.7213736,0.01057983,0.1344831,0.01793826,0.890939,0.580344,0.9659126,0.6952513,0.7929987,0.9673306,0.6402785,0.9193505,0.9220365,0.6855022,0.8443686,0.5731418,0.03093999,0.01643956,0.2143559,0.008830144,0.7062736,0.9526819,0.8907594,0.8441052,0.1496399,0.9600509,0.7039971,0.5361203,0.00383814,0.7012232,0.941988,0.9348428,0.9761681,0.01870973,0.002267574,0.01860095,0.9557534,0.3909101,0.9370333,0.03060531,0.9556426,0.9320473,0.1073414,0.01774521,0.962928,0.931226,0.8357818,0.9444089,0.9573965,0.3918614,0.6056878,0.9632788,0.9097237
"PD41",0.6756648,0.9131433,0.8648847,0.09650725,0.9656466,0.9582617,0.9667855,0.9632591,0.01325213,0.02688357,0.9050739,0.005874674,0.7815009,0.4964345,0.7068003,0.01729762,0.7353562,0.6848954,0.2613184,0.873267,0.5875586,0.9735142,0.9658633,0.06695903,0.9548019,0.8927152,0.9200558,0.02448314,0.01890359,0.3743975,0.6538111,0.8466206,0.5579117,0.0370926,0.9424939,0.9367706,0.006805321,0.8862813,0.8364149,0.8184142,0.8864439,0.05773857,0.3229528,0.8651817,0.9877859,0.9478729,0.6635452,0.008165675,0.173301,0.02102601,0.7815735,0.5846355,0.935801,0.6141889,0.7589353,0.9812923,0.6474188,0.9603872,0.9232172,0.7607231,0.8406841,0.5840258,0.05243446,0.04403141,0.1995697,0.001455964,0.7491093,0.9135089,0.8061086,0.8448687,0.1100938,0.9651202,0.6582208,0.6345531,0.002151033,0.6702857,0.8807451,0.9306776,0.9336253,0.0306001,0.01167502,0.02550387,0.8906475,0.3812341,0.8658147,0.04119187,0.9384702,0.944574,0.1072343,0.0114114,0.9496338,0.8471977,0.861957,0.9576619,0.9266144,0.4544985,0.7291284,0.9307049,0.8309285
"PDD39",0.6622916,0.9414366,0.8274774,0.1031095,0.9349338,0.9543351,0.9648486,0.9693044,0.01849925,0.001065085,0.9586781,0.01235033,0.7274177,0.4450396,0.6096335,0.02698048,0.7363177,0.4640063,0.2607549,0.8788646,0.541886,0.9680822,0.9620026,0.04560679,0.968523,0.83424,0.8773697,0.04595901,0.01342616,0.2641576,0.6499753,0.8133667,0.3899413,0.05854386,0.9542545,0.8787814,0.02098971,0.9311705,0.8997746,0.8222915,0.8014209,0.06574249,0.2305062,0.86378,0.9573633,0.9561521,0.549397,0.01693714,0.1754386,0.0187722,0.7695737,0.5663901,0.9135897,0.6947817,0.597791,0.9757756,0.6363555,0.9319829,0.9162309,0.7311805,0.9186136,0.5378619,0.04086767,0.02239168,0.117644,0.01094114,0.7100544,0.9128633,0.8196873,0.7740231,0.1491156,0.9435897,0.6661075,0.6285969,0.01292022,0.5863799,0.9156077,0.9434813,0.9708034,0.02398469,0.0136763,0.02345342,0.9286847,0.3624139,0.8858077,0.04186963,0.939794,0.9342705,0.08377131,0.01040496,0.9507714,0.8334722,0.8919992,0.9541264,0.9455817,0.2628568,0.6285396,0.9425827,0.8146537
"PD11",0.6612717,0.9361523,0.837644,0.110787,0.9482982,0.9829618,0.9682997,0.9748708,0.0182577,0.0003556025,0.9503441,0.001708331,0.8167581,0.4721863,0.7211076,0.008888889,0.7924153,0.6331504,0.2490606,0.8816145,0.6946385,0.9750286,0.95478,0.04931371,0.9592939,0.8732091,0.8975747,0.02928898,0.00698931,0.3642372,0.5569393,0.8535941,0.3240307,0.06716877,0.9145433,0.877261,0.01772897,0.883066,0.9228032,0.8530773,0.8912036,0.05786026,0.312066,0.8658351,0.9872899,0.9597345,0.7260417,0.005329008,0.2010624,0.01477131,0.8546356,0.6676741,0.959683,0.7578111,0.7222648,0.9401999,0.6490548,0.9474675,0.9467334,0.7432465,0.867656,0.580487,0.02729654,0.01172658,0.1477424,0.001435301,0.7570556,0.9322077,0.8434885,0.8718595,0.1330384,0.9746974,0.7531595,0.5580737,0.006891519,0.7071867,0.911861,0.929403,0.8919795,0.02483084,0.0187643,0.02719118,0.9087513,0.3511412,0.9384847,0.02901978,0.961234,0.9298545,0.06714209,0.007083263,0.9525294,0.85368,0.8744247,0.9476785,0.952633,0.377664,0.6562441,0.9567314,0.8873604
