base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg08755283,534.42786,cg18393044,477.69363,-0.77681637
cg02891208,534.2402,cg05730368,411.97653,0.7040573
cg02891208,534.2402,cg08015382,383.57498,0.70815897
cg02891208,534.2402,cg01298882,368.89526,0.72634387
cg02891208,534.2402,cg19163395,392.80762,0.71868503
cg02891208,534.2402,cg25032094,361.3122,0.70320493
cg02891208,534.2402,cg16179589,447.79425,0.9291875
cg02891208,534.2402,cg05097861,359.73407,0.7080938
cg02891208,534.2402,cg09404733,383.726,-0.71902275
cg10204478,519.23517,cg12800150,437.1421,-0.7253981
cg10204478,519.23517,cg05796043,386.80753,0.73377144
cg10204478,519.23517,cg18574725,399.71875,-0.7725458
cg10204478,519.23517,cg11036999,377.19608,0.7273574
cg10204478,519.23517,cg02111299,381.67267,0.7091249
cg25358294,516.60004,cg24928546,427.03644,0.805882
cg25358294,516.60004,cg20863284,399.04913,0.7435479
cg25358294,516.60004,cg02864619,370.8934,0.70296353
cg00119811,445.1216,cg23457901,379.11127,0.72870916
cg00119811,445.1216,cg01223299,361.83527,0.7243732
cg00119811,445.1216,cg12348588,350.13095,0.72455174
cg07485305,426.66455,cg23998048,389.5067,0.7428298
cg07485305,426.66455,cg04679996,415.126,0.71726346
cg18633141,380.62808,cg19815791,266.41144,0.71712774
