"","cg10152497","cg20476058","cg25567444","cg05348770","cg02347483","cg05885546","cg25936334","cg00989538","cg26345401","cg12635019","cg10321723","cg08485937","cg22470465","cg11180789","cg05384610","cg12665742","cg11341440"
"PDD38",0.856671,0.8082468,0.7086319,0.9645335,0.8946413,0.5787163,0.0741814,0.971244,0.7532724,0.1670739,0.9698167,0.9282158,0.8723553,0.9631196,0.3269888,0.1219058,0.907526
"CTRL61",0.8960381,0.7179241,0.8519777,0.9604855,0.7967692,0.4095876,0.06506399,0.9868874,0.7346352,0.2088994,0.9666855,0.9345542,0.8375738,0.9693805,0.3248302,0.07525584,0.840785
"PDD23",0.9066186,0.8152792,0.8114795,0.9777821,0.8762085,0.5561692,0.05002952,0.9847868,0.7074863,0.2167339,0.9807818,0.9280327,0.9471664,0.9608408,0.4061351,0.1010625,0.9587916
"PDD21",0.8175611,0.8173605,0.727663,0.9874998,0.9502842,0.4837824,0.06979427,0.981066,0.7176864,0.1496872,0.9318539,0.9070525,0.8761658,0.9728304,0.4202469,0.08442603,0.9150494
"PD29",0.8372767,0.7588905,0.7496353,0.9562743,0.858144,0.5378301,0.06615044,0.9700468,0.7031076,0.2014055,0.9367184,0.8937237,0.8812668,0.9735267,0.3998091,0.1142396,0.8204056
"PD5",0.8433759,0.7556967,0.7811532,0.9539041,0.9111639,0.4840926,0.06756245,0.9694813,0.7062823,0.1065205,0.9581625,0.9121008,0.8911745,0.9369985,0.3971432,0.09325619,0.8911659
"CTRL88",0.8987545,0.6860374,0.788195,0.9703538,0.8900204,0.5358397,0.05259609,0.9695894,0.7219145,0.1344831,0.9757017,0.9526819,0.8910229,0.9669909,0.3621452,0.101286,0.9097237
"PD41",0.8532572,0.7689864,0.7602231,0.9632591,0.8368132,0.5020708,0.05773857,0.9855814,0.7460423,0.173301,0.9451366,0.9135089,0.8525581,0.9821411,0.4347724,0.13479,0.8309285
"PDD39",0.8266824,0.6780371,0.6202508,0.9693044,0.8870945,0.4075798,0.06574249,0.9851619,0.7235866,0.1754386,0.9492254,0.9128633,0.8076317,0.9574392,0.312917,0.07565054,0.8146537
"PD11",0.8848938,0.8135857,0.7528804,0.9748708,0.8978898,0.5029454,0.05786026,0.9706695,0.8116459,0.2010624,0.9365654,0.9322077,0.89547,0.9546586,0.3936047,0.1103836,0.8873604
"PDD26",0.7474818,0.803923,0.6970026,0.966369,0.9266165,0.4383154,0.05610299,0.9749844,0.7071216,0.06983675,0.9506288,0.9097552,0.8686109,0.876452,0.5235315,0.1204867,0.8759597
"PDD25",0.8998703,0.8159508,0.7649476,0.9655979,0.914832,0.750884,0.0458595,0.9865658,0.8097358,0.2041348,0.9225747,0.8500046,0.8032818,0.967177,0.6424374,0.1252532,0.7841182
"PD1",0.9490069,0.804591,0.6976606,0.9439747,0.9224663,0.2910883,0.04522672,0.980332,0.7160521,0.1571321,0.9564381,0.9235278,0.8256319,0.9792656,0.4287362,0.1108253,0.8551865
"CTRL24",0.787514,0.7523941,0.6460299,0.9362206,0.8483049,0.5568914,0.06334597,0.9816561,0.6968411,0.1519101,0.9641267,0.9101313,0.8856285,0.9706751,0.3832395,0.08796124,0.9026867
"PD55",0.8465288,0.7313292,0.8353929,0.9397619,0.8663581,0.4672223,0.04879049,0.978263,0.7360441,0.1390025,0.9764133,0.9270917,0.8847665,0.9432804,0.4795978,0.09059941,0.8840061
"CTRL15",0.9327003,0.6436554,0.7084285,0.9522137,0.7845876,0.4690863,0.04620784,0.9679565,0.6932704,0.2055767,0.9636319,0.9363987,0.8319222,0.9667026,0.3877706,0.1126973,0.7734868
"CTRL63",0.7360669,0.8016071,0.8574372,0.9637095,0.8721092,0.4104078,0.05383305,0.9893937,0.7682288,0.2386924,0.9785814,0.9509596,0.9160522,0.932024,0.3536548,0.1082296,0.8857604
"PDD60",0.9017848,0.7972791,0.8202446,0.9546644,0.8661857,0.6484448,0.07040987,0.9627702,0.8504656,0.1705755,0.9173317,0.871229,0.8303335,0.9712032,0.5242008,0.1093011,0.7133142
"PDD51",0.8421481,0.7390278,0.6375101,0.963323,0.8480224,0.5727608,0.08754039,0.9802842,0.7019688,0.1701977,0.9511683,0.8484749,0.7353462,0.9424894,0.416711,0.09153556,0.745787
"PDD43",0.9292972,0.7786496,0.6424767,0.9424122,0.913133,0.4236505,0.07011023,0.953214,0.7755396,0.1071723,0.9284052,0.8983623,0.8807017,0.955492,0.3536861,0.09875784,0.889974
"PD14",0.9056564,0.6941343,0.8199817,0.951555,0.8606249,0.4746703,0.05353874,0.9723704,0.7429324,0.2898821,0.9805471,0.9403601,0.8953964,0.9498844,0.3992929,0.1252424,0.9352448
"PDD5",0.7856095,0.7528796,0.7561769,0.9774895,0.9207412,0.4670878,0.07241083,0.9578244,0.7527333,0.1842276,0.9442147,0.9399507,0.8248216,0.919158,0.4766206,0.1538273,0.8473229
"PD37",0.8270774,0.8556362,0.759685,0.9655214,0.8429783,0.4443338,0.05474493,0.9630459,0.7885705,0.2001285,0.9392019,0.9106624,0.8573293,0.9489947,0.429438,0.1035183,0.83348
"CTRL80",0.6404829,0.7314246,0.7478967,0.9473431,0.8318983,0.361965,0.06841612,0.979108,0.6982506,0.105076,0.9678873,0.9320526,0.8602335,0.8915518,0.411666,0.08243646,0.8539303
"PDD74",0.824042,0.7616422,0.7699728,0.9591542,0.8881835,0.447742,0.07114014,0.9837562,0.8192724,0.1624079,0.9751975,0.9289297,0.8799531,0.9621461,0.3957542,0.1003884,0.9151798
"CTRL62",0.8665584,0.7135844,0.845925,0.9664297,0.8766591,0.5115835,0.06791809,0.9825857,0.8172898,0.1870192,0.9715026,0.927581,0.8640225,0.9695577,0.3287188,0.07596054,0.848057
