"","cg21057613","cg21864071","cg08051076","cg21931717","cg14856606","cg04030905","cg22181664","cg26835908","cg03766823","cg12882476","cg08368441","cg26115216","cg05279387","cg03321592","cg20015921","cg21595526","cg19259574","cg22250642"
"PDD38",0.01500536,0.006468567,0.005796447,0.008643688,0.9234786,0.01854773,0.9224026,0.06687635,0.009448968,0.005674979,0.02043222,0.8643048,0.5747368,0.03297453,0.01535768,0.009882701,0.0231748,0.003741315
"CTRL61",0.0121695,0.01041241,0.01054292,0.008950366,0.8669251,0.008042587,0.9117333,0.03515189,0.008408639,0.00966693,0.0189184,0.8448276,0.5286613,0.01154565,0.01912858,0.00190096,0.02694366,0.004250496
"PDD23",0.01016396,0.008348457,0.01333437,0.2273511,0.8527451,0.005726054,0.9335689,0.03610764,0.002868573,0.005797314,0.0149312,0.8592183,0.5397517,0.02599452,0.01394519,0.009828976,0.02638395,0.004251417
"PDD21",0.01458351,0.001446534,0.01068999,0.014,0.8136284,0.01261787,0.9192018,0.03083098,0.00510803,0.004976009,0.03138969,0.9114746,0.5176376,0.03751617,0.02121352,0.009951881,0.03016391,0.01284265
"PD29",0.0169452,0.01048025,0.01125947,0.2316607,0.8060527,0.01859513,0.9047848,0.07032057,0.00886198,0.00528169,0.02478393,0.912993,0.4936187,0.04872096,0.02858052,0.01465387,0.0258518,0.01275204
"PD5",0.0210476,0.02379529,0.03397551,0.01189662,0.8262409,0.01832921,0.9142883,0.05922121,0.02085943,0.01864255,0.03059405,0.8637524,0.5849369,0.04034616,0.03737828,0.01932166,0.03109501,0.02221143
"CTRL88",0.008348135,0.009036785,0.008898077,0.0111445,0.8991182,0.01464944,0.874967,0.05281594,0.01470738,0.006432641,0.01793826,0.890939,0.5625491,0.03093999,0.02438203,0.00383814,0.01860095,0.00451491
"PD41",0.003899569,0.01065748,0.01279035,0.002086297,0.9367706,0.006805321,0.8862813,0.05008735,0.009125906,0.001607394,0.02102601,0.7815735,0.5267293,0.05243446,0.03624005,0.002151033,0.02550387,0.006937114
"PDD39",0.0091957,0.01232479,0.01004055,0.005467396,0.8787814,0.02098971,0.9311705,0.04213039,0.007044114,0.01308691,0.0187722,0.7695737,0.4128629,0.04086767,0.02314229,0.01292022,0.02345342,0.01512514
"PD11",0.01065936,0.01355793,0.01300856,0.005143347,0.877261,0.01772897,0.883066,0.05914129,0.002685197,0.001680108,0.01477131,0.8546356,0.563946,0.02729654,0.03750713,0.006891519,0.02719118,0.007847372
"PDD26",0.01395205,0.009820963,0.006233008,0.2969538,0.8332241,0.0140593,0.9057132,0.05856225,0.005308078,0.009950249,0.01491604,0.8667358,0.5661431,0.03359381,0.01535343,0.009131293,0.03499495,0.01207095
"PDD25",0.01416935,0.005353416,0.007484088,0.2810674,0.8488413,0.009545533,0.940473,0.04177488,0.01123221,0.005543237,0.03099947,0.860559,0.5811011,0.05113896,0.01808969,0.01160524,0.03359289,0.008867843
"PD1",0.01186992,0.008137916,0.01515776,0.03813752,0.8344777,0.005118533,0.912324,0.04892672,0.004801975,0.008417075,0.01218251,0.8971096,0.5378562,0.04153592,0.02789246,0.003173029,0.02399139,0.008914764
"CTRL24",0.0104712,0.002350678,0.01598368,0.009263774,0.8365573,0.01101601,0.863957,0.04837391,0.007854513,0.003615983,0.01295471,0.8747867,0.5023815,0.04386182,0.02855055,0.004557797,0.04115064,0.01024571
"PD55",0.01280942,0.01498127,0.003002473,0.005939593,0.8664915,0.005986528,0.9389747,0.03731852,0.004886571,0.004930312,0.01416724,0.8546256,0.5090797,0.04187605,0.02579397,0.01661095,0.02918993,0.01131268
"CTRL15",0.01094092,0.01538092,0.009322503,0.1898641,0.7884628,0.008758609,0.8529866,0.0508015,0.009942768,0.006735381,0.01248918,0.8598146,0.5241465,0.03586732,0.0221527,0.009019309,0.02664658,0.006291991
"CTRL63",0.01127155,0.008949118,0.01291689,0.05332373,0.8855603,0.009938992,0.8795722,0.02227291,0.01028891,0.005905659,0.018113,0.9156545,0.4630139,0.05806892,0.02654172,0.005035159,0.01634726,0.006091964
"PDD60",0.008878579,0.004087054,0.00714592,0.1202175,0.8644179,0.01667596,0.9094182,0.07506636,0.008120513,0.01021873,0.01613879,0.7426832,0.5577646,0.04380637,0.0505003,0.0007560722,0.03877979,0.002213001
"PDD51",0.01792638,0.008830522,0.01723623,0.0132359,0.896792,0.01717182,0.863983,0.02683571,0.009996615,0.01182376,0.01270507,0.8445897,0.4221045,0.07822686,0.03605932,0.006912153,0.0322194,0.007554403
"PDD43",0.01693731,0.01069296,0.01777975,0.3550911,0.8736011,0.009770877,0.9299876,0.02528106,0.005741786,0.01165266,0.02062804,0.8087276,0.5028435,0.03844268,0.03796079,0.01260723,0.02783168,0.008200923
"PD14",0.0151929,0.006373232,0.01128903,0.2650643,0.8254671,0.0132509,0.9072876,0.079427,0.005996302,0.007126097,0.01941553,0.9196767,0.5736539,0.04312967,0.02058002,0.01158096,0.02956428,0.01023532
"PDD5",0.01650273,0.01668967,0.01420176,0.2234784,0.8197402,0.02408667,0.897784,0.07771765,0.0172266,0.01768152,0.02404667,0.7485493,0.5900713,0.03921982,0.03204563,0.01839144,0.02444575,0.01939599
"PD37",0.01856131,0.00455348,0.01076967,0.02269334,0.8422494,0.00762791,0.9178695,0.05984353,0.01656726,0.0079678,0.02621865,0.8757145,0.531417,0.05271499,0.028541,0.003757044,0.01869054,0.005815972
"CTRL80",0.009224191,0.003621138,0.008189464,0.09075025,0.7937445,0.03403874,0.9189585,0.05154095,0.007581173,0.009255797,0.02187069,0.8664484,0.4782009,0.03917326,0.02533266,0.002829712,0.02593711,0.005438477
"PDD74",0.01960663,0.008894905,0.0175024,0.009624639,0.8232384,0.008221991,0.9630613,0.02241769,0.0070463,0.01181102,0.02669972,0.8443951,0.4974671,0.05017048,0.01986299,0.004687042,0.02262312,0.01513002
"CTRL62",0.008202619,0.01095311,0.004399472,0.004592193,0.8531067,0.007853095,0.9005684,0.06355722,0.00112534,0.009786846,0.02830644,0.8864003,0.5737277,0.04015425,0.02234562,0.008426722,0.02084808,0.004793233
"PD3",0.02157041,0.02640387,0.02058494,0.02591483,0.7934355,0.03750895,0.910402,0.05779105,0.03325111,0.01924433,0.0311518,0.8028488,0.566566,0.05216535,0.0437195,0.02849845,0.04193682,0.02511336
