"","cg18740718","cg00140235","cg09060462","cg14144850","cg21931717","cg14856606","cg04030905","cg22181664","cg26835908","cg12635019","cg12882476","cg08368441","cg26115216","cg03321592","cg21595526","cg19259574","cg18014247"
"PDD38",0.01347201,0.007388611,0.0621474,0.9116448,0.008643688,0.9234786,0.01854773,0.9224026,0.06687635,0.1670739,0.005674979,0.02043222,0.8643048,0.03297453,0.009882701,0.0231748,0.01955786
"CTRL61",0.02154901,0.006471786,0.07514323,0.8620368,0.008950366,0.8669251,0.008042587,0.9117333,0.03515189,0.2088994,0.00966693,0.0189184,0.8448276,0.01154565,0.00190096,0.02694366,0.01366271
"PDD23",0.01662595,0.006154748,0.03695025,0.8933736,0.2273511,0.8527451,0.005726054,0.9335689,0.03610764,0.2167339,0.005797314,0.0149312,0.8592183,0.02599452,0.009828976,0.02638395,0.01277281
"PDD21",0.01574856,0.004833642,0.07106387,0.8685298,0.014,0.8136284,0.01261787,0.9192018,0.03083098,0.1496872,0.004976009,0.03138969,0.9114746,0.03751617,0.009951881,0.03016391,0.01143013
"PD29",0.02187075,0.001916233,0.06762969,0.8998327,0.2316607,0.8060527,0.01859513,0.9047848,0.07032057,0.2014055,0.00528169,0.02478393,0.912993,0.04872096,0.01465387,0.0258518,0.009592661
"PD5",0.0222818,0.01802907,0.1200233,0.8622962,0.01189662,0.8262409,0.01832921,0.9142883,0.05922121,0.1065205,0.01864255,0.03059405,0.8637524,0.04034616,0.01932166,0.03109501,0.02155019
"CTRL88",0.01585091,0.01211762,0.08384755,0.8890805,0.0111445,0.8991182,0.01464944,0.874967,0.05281594,0.1344831,0.006432641,0.01793826,0.890939,0.03093999,0.00383814,0.01860095,0.01774521
"PD41",0.03533044,0.005874674,0.06695903,0.9424939,0.002086297,0.9367706,0.006805321,0.8862813,0.05008735,0.173301,0.001607394,0.02102601,0.7815735,0.05243446,0.002151033,0.02550387,0.0114114
"PDD39",0.02149939,0.01235033,0.04560679,0.9542545,0.005467396,0.8787814,0.02098971,0.9311705,0.04213039,0.1754386,0.01308691,0.0187722,0.7695737,0.04086767,0.01292022,0.02345342,0.01040496
"PD11",0.02597772,0.001708331,0.04931371,0.9145433,0.005143347,0.877261,0.01772897,0.883066,0.05914129,0.2010624,0.001680108,0.01477131,0.8546356,0.02729654,0.006891519,0.02719118,0.007083263
