,PDD38,CTRL61,PDD23,PDD21,PD29,PD5,CTRL88,PD41,PDD39,PD11,PDD26,PDD25,PD1,CTRL24,PD55,CTRL15,CTRL63,PDD60,PDD51,PDD43,PD14,PDD5,PD37,CTRL80,PDD74,CTRL62,PD3,CTRL39,CTRL97,PD47,DLB17,DLB2,CTRL35,PD8,CTRL51,CTRL77,CTRL68,PDD24,CTRL19,PDD13,CTRL43,DLB11,PDD58,CTRL42,PDD53,PD40,PDD44,PD6,CTRL1,PD35,PDD41,PDD70,PD59,PDD28,CTRL78,CTRL64,PD48,PD21,CTRL95,CTRL57,PDD30,PDD22,DLB15,PD50,CTRL29,PDD54,PDD27,DLB24,PD23,PD30,PDD15,CTRL50,CTRL93,PDD35,CTRL73,PDD6,CTRL13,PDD73,CTRL81,CTRL33,PDD49,PD27,PDD4,PD58,CTRL85,PD52,PD60,PD61,CTRL11,CTRL40,DLB35,PD9,CTRL79,PDD61,PD56,CTRL55,CTRL37,CTRL82,CTRL32,PD2,PD54,CTRL48,PD49,PDD69,PD45,CTRL12,PD33,PD51,PD13,PDD45,PD20,CTRL83,PDD7,CTRL71,PDD47,PD32,CTRL6,CTRL46,PD17,PDD10,DLB12,CTRL44,CTRL86,DLB27,PD18,CTRL20,PDD50,DLB21,CTRL53,CTRL65,PD38,CTRL18,PDD36,PDD64,PD42,PDD33,PDD65,PD62,PDD77,PDD2,PD25,DLB14
cg00108744,0.7571658,0.7644078,0.6744493,0.6786002,0.6362912,0.6762737,0.7259976,0.658945,0.6745718,0.6820384,0.7595973,0.8265629,0.6234754,0.6848048,0.6709356,0.6350572,0.7815915,0.7046726,0.5870186,0.5555747,0.6822923,0.761662,0.7856259,0.6250134,0.649903,0.7751375,0.7110796,0.7071452,0.7537347,0.5747537,0.6355949,0.7164967,0.6443505,0.7020781,0.6593114,0.6005688,0.6222346,0.7241365,0.5997776,0.7096251,0.7734853,0.6473184,0.6598235,0.6960577,0.7368739,0.6523854,0.7260173,0.6235588,0.6790836,0.7827346,0.5862835,0.7195779,0.6023994,0.6577066,0.7306834,0.7409042,0.6472446,0.7152542,0.701485,0.6692552,0.736415,0.7563987,0.6219598,0.6385576,0.7123795,0.742939,0.7533532,0.6313145,0.7837527,0.7247156,0.685704,0.6324802,0.6323209,0.6946092,0.6198421,0.7883709,0.5650302,0.7049748,0.6553973,0.5912292,0.7104201,0.6513018,0.7134109,0.6831448,0.6365778,0.6335661,0.7202325,0.5450569,0.6019008,0.7023799,0.6729929,0.7245449,0.5748807,0.7375422,0.6970738,0.6546996,0.760062,0.6827765,0.7109667,0.822222,0.6780845,0.5753587,0.728158,0.5869688,0.6563635,0.6859219,0.708423,0.7274777,0.7000982,0.7152374,0.7709105,0.7300094,0.6456134,0.6647955,0.6699457,0.5861351,0.7131913,0.6647514,0.7748037,0.7553679,0.676873,0.5550356,0.7503144,0.5477363,0.7086041,0.6125091,0.7411269,0.626611,0.6275583,0.6580386,0.7348436,0.6722918,0.697006,0.6720513,0.8222329,0.6842225,0.6428591,0.6534145,0.7275519,0.7321466,0.7733311,0.7729747
cg07711327,0.9563449,0.9531776,0.9621432,0.9527016,0.9280497,0.9539679,0.9642591,0.9815356,0.9702332,0.9735926,0.9819507,0.9729998,0.9730372,0.9678518,0.971644,0.9859959,0.9449678,0.9412976,0.9721762,0.9502244,0.9324769,0.9082164,0.9855498,0.9776279,0.9471276,0.9732979,0.8960219,0.9594859,0.938771,0.9576327,0.9155493,0.907988,0.96486,0.9604869,0.9634835,0.9342425,0.9469493,0.9685072,0.9457789,0.9616469,0.9560373,0.9462237,0.9781785,0.9627273,0.9633426,0.9655926,0.9544378,0.9091599,0.9207602,0.9454569,0.968799,0.9563023,0.9621138,0.9628922,0.9400219,0.9459348,0.9538238,0.9618771,0.9303075,0.9528955,0.9432085,0.9791944,0.9218696,0.9330109,0.9798072,0.9689971,0.9558805,0.9721792,0.9446979,0.9514093,0.8975439,0.9739935,0.951422,0.9498804,0.9322956,0.9582049,0.9463582,0.9513153,0.9436447,0.9487461,0.9503346,0.9599643,0.9174272,0.9519834,0.9488999,0.9195486,0.9510489,0.9563986,0.9617619,0.9659466,0.9733368,0.9711826,0.9427199,0.9304141,0.9814299,0.9432064,0.9509978,0.933369,0.9688904,0.932529,0.9707926,0.9448696,0.9675566,0.9746741,0.9623115,0.9372863,0.9358117,0.9512306,0.9545011,0.927283,0.950083,0.9441926,0.9121735,0.9488339,0.9507318,0.9690103,0.9336621,0.944197,0.9137426,0.9424627,0.9777026,0.9692668,0.9597263,0.9375796,0.9639799,0.9758589,0.9249683,0.9564848,0.942628,0.9461017,0.9386578,0.9335046,0.9439152,0.9744401,0.954908,0.9547903,0.9701909,0.9482541,0.9320777,0.9295294,0.9477669,0.9539026
cg21260436,0.9524102,0.9344328,0.9725706,0.9588815,0.9130784,0.9550503,0.9546066,0.9365033,0.9540442,0.952295,0.9675816,0.9558835,0.9478275,0.9280768,0.9541416,0.9429663,0.9586295,0.9238279,0.9360655,0.9383647,0.9407581,0.9588418,0.9342871,0.9443034,0.9625048,0.9540798,0.9286731,0.9467131,0.9353954,0.9336555,0.945114,0.9447362,0.944243,0.9544392,0.935045,0.9752874,0.9634367,0.9726193,0.9400633,0.9678776,0.9556727,0.9709153,0.9391598,0.9500999,0.9415167,0.9593602,0.9551998,0.9746553,0.9657295,0.9455427,0.9356413,0.9652344,0.9371217,0.9680674,0.9598033,0.9552234,0.9591298,0.9642103,0.9592702,0.9564708,0.959505,0.9408562,0.9436676,0.9344926,0.9037265,0.9459923,0.9488896,0.944352,0.9697704,0.954294,0.963865,0.9298411,0.9557966,0.9470436,0.966742,0.9204367,0.9510957,0.9721901,0.9604547,0.946649,0.9379625,0.9402615,0.9459649,0.9625369,0.9536103,0.9310659,0.9578374,0.9422401,0.9503743,0.9468568,0.9403085,0.9671093,0.9770505,0.9221099,0.9451681,0.9602472,0.9464109,0.9415481,0.9561349,0.9639598,0.9501442,0.9476401,0.9178639,0.9353344,0.9355551,0.9440894,0.9187963,0.9457954,0.9671869,0.9364008,0.9460951,0.9552156,0.9476445,0.9597398,0.9315336,0.9332698,0.9428953,0.9123614,0.969582,0.9162548,0.9631348,0.9535274,0.9589354,0.9147509,0.9551509,0.9309365,0.9269976,0.9334924,0.9298063,0.9324495,0.9482789,0.9447064,0.9516557,0.9620991,0.9464236,0.961527,0.9578006,0.9566683,0.9592439,0.9600769,0.9446267,0.9594643
cg11300208,0.9408837,0.9254014,0.891559,0.9329683,0.8764941,0.9140657,0.91657,0.9252083,0.8736672,0.8845644,0.9398029,0.9216464,0.932038,0.9226747,0.895834,0.8961177,0.8988306,0.9239358,0.8931688,0.8907739,0.9359944,0.9238288,0.9046257,0.9336299,0.9318961,0.9504146,0.9315647,0.9191283,0.896537,0.8982883,0.9088869,0.9020532,0.8864979,0.9167737,0.9305421,0.9528612,0.903865,0.9434652,0.9153205,0.9190649,0.9326179,0.9417309,0.9281358,0.9114984,0.8973291,0.918551,0.9013851,0.8796282,0.9224525,0.9254441,0.8510959,0.9129528,0.9325634,0.9575488,0.9413427,0.9434043,0.8916265,0.9315302,0.9393516,0.9164912,0.9036065,0.8965743,0.9077506,0.9270057,0.8504071,0.9141152,0.9147797,0.8918596,0.9213595,0.8831848,0.9208898,0.9189727,0.9184607,0.9230887,0.9537009,0.9446138,0.8928611,0.9538544,0.8897056,0.9015825,0.9025244,0.9133381,0.9453513,0.9438623,0.9174654,0.8710387,0.9172279,0.9083479,0.9153924,0.8965251,0.9114966,0.9255042,0.9208434,0.9243362,0.9202572,0.9268551,0.9152649,0.9405136,0.9063861,0.9082645,0.9432123,0.9284351,0.9272693,0.9530501,0.8976459,0.9170929,0.8398414,0.9127351,0.9073587,0.9020891,0.8941766,0.9396708,0.9155952,0.9568548,0.8755731,0.8862215,0.8598956,0.9071868,0.9409463,0.9259941,0.8945244,0.8944079,0.9108081,0.8897289,0.923338,0.9016293,0.8490967,0.8704308,0.881722,0.9362795,0.9373688,0.8433924,0.9177331,0.9088102,0.8871795,0.8783663,0.9627695,0.9004441,0.9381124,0.9120788,0.9149408,0.9089417
cg00477017,0.9180689,0.8750641,0.9131518,0.906013,0.8719723,0.9384437,0.8713177,0.8864978,0.8577691,0.8937379,0.9148038,0.9215291,0.9060661,0.8899892,0.8623547,0.8506225,0.8996016,0.848371,0.7869061,0.8859234,0.8644523,0.9142721,0.8887446,0.9030868,0.8676793,0.845528,0.8976687,0.8557362,0.8826592,0.8404239,0.8748329,0.9151799,0.8610948,0.9496107,0.8745246,0.8452821,0.8456313,0.9027454,0.8761827,0.8990898,0.8503868,0.8556434,0.8624375,0.8806768,0.870498,0.8871994,0.8994587,0.948397,0.9005721,0.8890163,0.8715386,0.8915736,0.8850185,0.8940592,0.9234274,0.8394427,0.7426128,0.8844529,0.9005686,0.8499042,0.8549842,0.9203177,0.8572205,0.8649457,0.845453,0.8991689,0.9414037,0.8903903,0.9122536,0.8540148,0.929069,0.8816349,0.8613601,0.9003597,0.8055641,0.8925252,0.8225983,0.9351614,0.8235542,0.8190861,0.894771,0.8763669,0.9398652,0.865069,0.8631737,0.9261731,0.8797075,0.8453732,0.9037125,0.850331,0.8813914,0.9070341,0.8549655,0.8727369,0.9211439,0.8772368,0.8798123,0.877752,0.9277319,0.9440919,0.8423345,0.8327913,0.8496272,0.8069563,0.8529272,0.9118877,0.8728394,0.8543817,0.9327989,0.9050152,0.9447168,0.8247814,0.9153273,0.843755,0.7991881,0.7745645,0.9032201,0.8374328,0.9162993,0.9120872,0.9158675,0.8706632,0.8715371,0.8458221,0.9140092,0.8725438,0.865528,0.8579324,0.8890099,0.9255751,0.8872851,0.9147654,0.8654867,0.8921757,0.9139954,0.9397221,0.9158974,0.8611858,0.8867937,0.9133885,0.9406904,0.888092
cg07242890,0.9714445,0.9233964,0.9709903,0.970776,0.9371675,0.9374931,0.9270383,0.9310718,0.952473,0.9289883,0.9570622,0.9691697,0.928579,0.9367265,0.9661497,0.9151475,0.9571881,0.9484229,0.9265217,0.9690809,0.9727072,0.9645923,0.9265355,0.9648564,0.9474757,0.9298008,0.9449043,0.9161828,0.9564369,0.9245458,0.9409166,0.9534671,0.9276068,0.9596598,0.9293757,0.9502302,0.9381426,0.9729777,0.9462461,0.9619289,0.9248862,0.9529294,0.9226568,0.9186177,0.9411118,0.929798,0.9443302,0.9603107,0.9556899,0.9407019,0.9446994,0.9327239,0.945438,0.9544494,0.955697,0.9644825,0.946651,0.9681021,0.9188345,0.9690033,0.9531598,0.9467833,0.9246506,0.9285537,0.9487939,0.9467092,0.9684892,0.9385793,0.9682724,0.925553,0.9715433,0.9557747,0.9526616,0.946002,0.938779,0.9583194,0.9371164,0.9541325,0.9344585,0.93335,0.955676,0.9418585,0.9651338,0.9584575,0.9578313,0.9472511,0.923436,0.9635446,0.9813014,0.945314,0.9524227,0.948209,0.9615106,0.9407756,0.94523,0.962895,0.9562716,0.9686593,0.9535747,0.9359654,0.9187742,0.9413769,0.9302463,0.9544493,0.9424764,0.9486557,0.9314509,0.9450987,0.9723481,0.9559029,0.9502485,0.9318054,0.9563377,0.9226471,0.937786,0.9155151,0.9651096,0.9265837,0.9566138,0.9688805,0.9617256,0.9263332,0.9448847,0.9302345,0.9520608,0.9470789,0.9414777,0.9317517,0.9453216,0.9443953,0.9287059,0.9357342,0.9662173,0.95487,0.9562451,0.966014,0.9208142,0.9147623,0.940272,0.9574261,0.9788865,0.9633021
cg13369760,0.9816233,0.9793919,0.9869304,0.982404,0.9801785,0.9519511,0.9825837,0.9808282,0.9868996,0.9818201,0.9788801,0.9809492,0.969338,0.9828057,0.9793344,0.9822397,0.9837793,0.9843184,0.9835876,0.9799153,0.985814,0.977282,0.9654375,0.9754051,0.9829918,0.9857501,0.9627253,0.9766078,0.9759929,0.9795317,0.9737045,0.9776799,0.9738033,0.9893079,0.9878812,0.9822864,0.9876214,0.9856409,0.9719356,0.981692,0.9807839,0.9789687,0.9835752,0.9770228,0.9734654,0.9669202,0.9806933,0.9859627,0.9817519,0.982167,0.9860962,0.9820244,0.9723762,0.9946603,0.985962,0.9676619,0.9742435,0.9737191,0.9813601,0.9866199,0.9841135,0.9849362,0.9842967,0.9777995,0.9799497,0.9771554,0.9777693,0.9884344,0.9846064,0.9820422,0.9755802,0.9833265,0.980754,0.9885928,0.9850862,0.9725506,0.9790573,0.9766545,0.9724682,0.9766725,0.9753328,0.987608,0.9837104,0.9771454,0.9744761,0.9672039,0.9778246,0.9799613,0.9870108,0.9796318,0.978426,0.9736367,0.9830998,0.9819829,0.9872824,0.9643796,0.9655736,0.9781102,0.9828301,0.9745142,0.9797165,0.9733088,0.9736806,0.987442,0.9743596,0.9741914,0.9874045,0.9708398,0.9714286,0.9802983,0.9871623,0.95387,0.9675996,0.9872021,0.9895791,0.9866336,0.9831511,0.9630133,0.9822299,0.9750021,0.9838201,0.97337,0.9732462,0.9740101,0.9756871,0.9837901,0.978542,0.9760186,0.9781212,0.9760586,0.9837243,0.9694677,0.9810246,0.9794707,0.9761904,0.9868967,0.9790166,0.9665996,0.984157,0.9776907,0.9882064,0.9857003
cg07768002,0.9171623,0.9157044,0.8802477,0.8500355,0.8624846,0.8454655,0.9263267,0.8499564,0.8646305,0.8877979,0.8859391,0.8751314,0.8496475,0.8656502,0.8567331,0.8473273,0.889243,0.8837947,0.852119,0.8424635,0.9111148,0.9158826,0.8971374,0.9082881,0.878587,0.9006103,0.8870696,0.9188577,0.9056465,0.9036141,0.8994838,0.8421573,0.8679741,0.8537448,0.8957871,0.8756481,0.895524,0.941654,0.8572634,0.9238002,0.9110583,0.9165265,0.8928976,0.9168066,0.9021702,0.8611917,0.8879106,0.8961222,0.8265766,0.9104342,0.8480936,0.8817011,0.9057044,0.8537113,0.8867081,0.8651721,0.9449025,0.8369458,0.8935419,0.9420606,0.8490888,0.8572859,0.8707625,0.9013813,0.7906759,0.8710802,0.8625702,0.8371558,0.8737678,0.9041874,0.8543497,0.8768217,0.9127055,0.8790402,0.9020723,0.8631494,0.8956672,0.8783829,0.8887402,0.914566,0.8551046,0.8935835,0.9397354,0.9161072,0.89002,0.839468,0.8986972,0.9009114,0.8653281,0.9068967,0.8643405,0.9050556,0.8509289,0.9122873,0.933546,0.9180125,0.792838,0.9459772,0.7977904,0.8819185,0.8873582,0.8829904,0.8310491,0.9210412,0.9178957,0.9107274,0.7959346,0.938777,0.8689507,0.8192276,0.8646862,0.9532647,0.8345706,0.9041537,0.8805763,0.8264715,0.8343872,0.8572304,0.8825161,0.8324957,0.9115017,0.9138991,0.8915618,0.858172,0.8711026,0.8875193,0.7801554,0.8466812,0.9026856,0.8701639,0.924098,0.8362959,0.8822862,0.9247459,0.9069342,0.7639593,0.9161305,0.8774368,0.921218,0.8336705,0.904132,0.9019767
cg21601837,0.1305738,0.108439,0.1478639,0.09441015,0.1456122,0.1281711,0.1348842,0.1594235,0.1116866,0.1297963,0.1060498,0.1474422,0.1018271,0.1208454,0.1191404,0.1274176,0.1029149,0.07466555,0.1501467,0.07840958,0.1780155,0.1289057,0.08300781,0.07038334,0.0855485,0.1522185,0.1602067,0.14313,0.1258947,0.1403601,0.1582106,0.1534711,0.1717029,0.07093265,0.15171,0.1763335,0.1593358,0.1440464,0.1051966,0.1311591,0.1073947,0.07822662,0.1081326,0.1533459,0.1009984,0.1112833,0.1393102,0.1370693,0.1510713,0.1648582,0.104734,0.08555201,0.1457362,0.1699619,0.1124374,0.1442686,0.1327149,0.1103676,0.1127807,0.1100201,0.1234124,0.1085168,0.1008258,0.146759,0.06850647,0.08030779,0.143766,0.09775339,0.1278316,0.08398205,0.09796713,0.1255618,0.1688344,0.1753295,0.1321871,0.1696147,0.1624963,0.06180589,0.1462196,0.1465361,0.1710084,0.1278138,0.1248924,0.08963415,0.09332995,0.1251118,0.1697683,0.1349216,0.1358266,0.1371697,0.1615155,0.149288,0.127566,4.298487e-05,0.1433099,0.1038816,0.06566476,0.08561895,0.0885316,0.08209044,0.09730042,0.1793098,0.1291824,0.1025571,0.1885319,0.1063697,0.1097577,0.1437171,0.1906766,0.101057,0.07100116,0.09638155,0.1124423,0.1584353,0.1520145,0.1410192,0.09643387,0.1543304,0.09539883,0.1207023,0.1531896,0.1790926,0.09932632,0.09824512,0.1111565,0.0829237,0.1104266,0.1396426,0.1306672,0.1166778,0.1332489,0.1207541,0.194332,0.1301481,0.07119804,0.1039142,0.1140391,0.1221092,0.1570614,0.114646,0.09070935,0.1262322
cg21856912,0.8597626,0.8691924,0.8949214,0.8841881,0.9198717,0.7515723,0.8789976,0.9242639,0.896456,0.9673572,0.8778441,0.9390091,0.8954569,0.932412,0.912161,0.9365405,0.81449,0.9180603,0.9564733,0.9546055,0.8777012,0.7564052,0.9719488,0.7216834,0.8195088,0.9271185,0.8301301,0.9057998,0.94288,0.8497182,0.8260918,0.8935791,0.8809126,0.8519426,0.9248278,0.9527454,0.8723657,0.8255367,0.9272386,0.9764202,0.9696108,0.9271542,0.9266611,0.9281776,0.9814469,0.8837664,0.8734607,0.8002021,0.8807684,0.9541859,0.9353932,0.802523,0.8192597,0.8833025,0.7549824,0.8026079,0.8376052,0.8623573,0.8669147,0.863534,0.8546193,0.9441331,0.9153991,0.8945264,0.9875831,0.8675722,0.9086697,0.8704477,0.7842165,0.904265,0.7242657,0.9369506,0.8891838,0.9268296,0.678901,0.9548908,0.8829756,0.8198716,0.858268,0.9537541,0.9209692,0.8974138,0.737956,0.9276955,0.9325702,0.9144007,0.9472158,0.8281856,0.865135,0.9354442,0.9594337,0.9109265,0.8072231,0.9405409,0.9280356,0.816176,0.9155923,0.8757736,0.9502793,0.8401394,0.9233303,0.9234514,0.8659498,0.9246095,0.861137,0.7966752,0.9084619,0.9423181,0.8703215,0.8978085,0.9549063,0.8232381,0.6521453,0.7480887,0.8525024,0.9269781,0.8200026,0.9195062,0.8843803,0.8119303,0.909278,0.9439696,0.9230723,0.8226607,0.8650499,0.9845709,0.9250498,0.8694808,0.9647708,0.8915093,0.9290831,0.9278883,0.8541379,0.9417288,0.8448561,0.8929623,0.9649029,0.9220523,0.935078,0.8318756,0.9347222,0.9345355
