"","cg12853539","cg14144850","cg14856606","cg00773696"
"PDD38",0.7794217,0.9116448,0.9234786,0.02747617
"CTRL61",0.699743,0.8620368,0.8669251,0.01750046
"PDD23",0.7797031,0.8933736,0.8527451,0.01150044
"PDD21",0.8269835,0.8685298,0.8136284,0.0111026
"PD29",0.790015,0.8998327,0.8060527,0.02052113
"PD5",0.7774476,0.8622962,0.8262409,0.02936858
"CTRL88",0.7465637,0.8890805,0.8991182,0.01286616
"PD41",0.8368208,0.9424939,0.9367706,0.03241438
"PDD39",0.822468,0.9542545,0.8787814,0.01888736
"PD11",0.8429774,0.9145433,0.877261,0.02411658
"PDD26",0.8729319,0.9224447,0.8332241,0.01444956
"PDD25",0.8940007,0.9582058,0.8488413,0.0186355
"PD1",0.8183182,0.8714371,0.8344777,0.01633105
"CTRL24",0.7007301,0.9011629,0.8365573,0.03652886
"PD55",0.8224297,0.9471329,0.8664915,0.007569862
"CTRL15",0.6634986,0.9626766,0.7884628,0.02336214
"CTRL63",0.7396873,0.8203045,0.8855603,0.02408934
"PDD60",0.8255682,0.9336184,0.8644179,0.02202742
"PDD51",0.8223048,0.9540503,0.896792,0.02842247
"PDD43",0.908113,0.9541568,0.8736011,0.02111602
"PD14",0.7079936,0.8297331,0.8254671,0.02349806
"PDD5",0.8328055,0.8739275,0.8197402,0.01909828
"PD37",0.7745733,0.9636415,0.8422494,0.01833223
"CTRL80",0.7897178,0.7913867,0.7937445,0.01923719
"PDD74",0.6589277,0.9883795,0.8232384,0.01632747
"CTRL62",0.6107367,0.9161328,0.8531067,0.01891382
"PD3",0.6892894,0.8742734,0.7934355,0.02919378
"CTRL39",0.6746586,0.8925833,0.8118299,0.0188296
"CTRL97",0.7623454,0.8823314,0.8423387,0.02573987
"PD47",0.6596089,0.869429,0.8098757,0.02769409
"DLB17",0.667144,0.8436382,0.9061748,0.01955689
"DLB2",0.8292332,0.8522631,0.8673931,0.02226542
"CTRL35",0.8399843,0.9010744,0.8461338,0.02940483
"PD8",0.7766787,0.9434566,0.8637676,0.01658528
"CTRL51",0.7065126,0.8623499,0.8232207,0.011212
"CTRL77",0.7165383,0.9020819,0.8326819,0.01311724
"CTRL68",0.674554,0.9001085,0.835352,0.0225181
"PDD24",0.7326681,0.8707214,0.815341,0.01817285
"CTRL19",0.7670405,0.9374133,0.8118285,0.02608025
"PDD13",0.8978626,0.918749,0.8097599,0.01278445
"CTRL43",0.5674953,0.8587016,0.7740412,0.02465904
"DLB11",0.7260134,0.9153857,0.8404236,0.01687879
"PDD58",0.7602211,0.886755,0.910037,0.04625268
"CTRL42",0.6722903,0.9293421,0.8592417,0.04978279
"PDD53",0.7714197,0.9290131,0.8433834,0.02279874
"PD40",0.7805072,0.9115966,0.8193516,0.02398581
"PDD44",0.8067121,0.9158015,0.8863343,0.02027209
"PD6",0.6849556,0.8190403,0.840197,0.03036475
