base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg17575113,2117.2493,cg12763038,1972.5165,0.81273645
cg17575113,2117.2493,cg07158961,1745.733,0.7128368
cg17575113,2117.2493,cg10224098,1819.355,-0.72160083
cg17575113,2117.2493,cg27637706,1783.6665,0.7338764
cg17575113,2117.2493,cg05775451,1906.7119,-0.783166
cg17575113,2117.2493,cg17574803,1724.7177,0.7309012
cg17575113,2117.2493,cg23601736,1813.5513,0.7256905
cg17575113,2117.2493,cg08736185,1731.5928,0.74247175
cg17575113,2117.2493,cg05273544,1768.9274,0.72528565
cg17575113,2117.2493,cg22051913,1710.1096,0.72883385
cg17575113,2117.2493,cg01510380,1727.5667,0.7099214
cg17575113,2117.2493,cg19903532,1812.8087,0.74960107
cg17575113,2117.2493,cg25878872,1791.6946,-0.7863464
cg17575113,2117.2493,cg22042881,1780.2086,0.70280623
cg17575113,2117.2493,cg10204478,1922.5312,0.8023278
cg17575113,2117.2493,cg18591013,1948.5594,0.7169142
cg17575113,2117.2493,cg02515738,1652.703,0.7123495
cg17575113,2117.2493,cg03410205,1812.3617,0.70406234
cg17575113,2117.2493,cg12331108,1878.2369,0.722066
cg17575113,2117.2493,cg21448741,2046.5564,0.82510597
cg24042899,2066.573,cg20290145,1769.7021,0.7099844
cg12678834,2041.1804,cg17373332,1975.2681,0.7734817
cg12678834,2041.1804,cg11455768,1864.2931,0.7274089
cg13441066,1959.5869,cg12865405,1843.5901,0.7036043
cg09142671,1938.8105,cg19938167,1896.374,0.8920718
cg09142671,1938.8105,cg25245569,1629.8898,0.72252756
cg09142671,1938.8105,cg20058687,1550.4315,0.7220656
cg09142671,1938.8105,cg00290101,1902.5837,0.89260375
cg09142671,1938.8105,cg26987660,1530.3275,0.7073964
cg14464551,1936.3138,cg16706559,1827.796,-0.708553
cg02259802,1920.8835,cg20193999,1833.1558,0.70526177
cg02259802,1920.8835,cg17895697,1636.2194,0.7211865
cg02259802,1920.8835,cg25358294,1793.0012,0.7215743
cg02259802,1920.8835,cg23379913,1660.9937,0.706596
cg01472821,1895.6997,cg01455398,1877.2218,0.7237441
cg01472821,1895.6997,cg20063934,1875.0596,0.7583765
cg18566095,1879.6168,cg07204658,1588.562,0.7012535
cg18566095,1879.6168,cg13500499,1797.0392,0.7453513
cg18566095,1879.6168,cg00838561,1697.2499,0.7287961
cg18566095,1879.6168,cg18388475,1801.2349,0.752696
cg18566095,1879.6168,cg15049092,1532.244,0.7042885
cg18566095,1879.6168,cg26572452,1484.1857,0.735668
cg12407160,1876.8362,cg25459970,1691.7261,0.72748256
cg20009629,1854.8964,cg06519061,1782.9904,0.70028305
cg09964670,1845.7749,cg11645754,1568.1285,0.71647906
cg27383468,1843.1097,cg00379836,1776.2014,0.7150685
cg03689120,1819.0298,cg19053563,1543.7906,0.7076775
cg03689120,1819.0298,cg17930737,1611.7654,0.7271664
cg03689120,1819.0298,cg19269264,1620.3522,0.7134378
cg03689120,1819.0298,cg03247567,1544.2521,0.7139895
cg03689120,1819.0298,cg25888694,1682.6824,0.76151806
cg03689120,1819.0298,cg21517865,1606.4479,0.7211578
cg03689120,1819.0298,cg21898346,1587.2181,0.7609847
cg03689120,1819.0298,cg08177063,1737.2675,0.7319941
cg27189155,1800.5042,cg00277836,1682.9749,0.73167413
cg06920667,1788.3708,cg14779951,1687.3296,-0.7070454
cg25040896,1771.1616,cg15826704,1610.2131,0.70675164
cg25040896,1771.1616,cg27055601,1579.8506,0.7013011
cg27491613,1760.1605,cg12569007,1572.1112,0.7009526
cg27491613,1760.1605,cg04101031,1569.1086,0.70188034
cg16660591,1748.4343,cg24952358,1605.6108,0.7222323
cg16660591,1748.4343,cg23599860,1624.0234,0.7165641
cg00775816,1743.9563,cg25167451,1651.4054,0.70166403
cg00775816,1743.9563,cg26298192,1669.9637,0.7423732
cg12752325,1740.7576,cg13448487,1656.7909,0.72822833
cg11585912,1736.1312,cg15629467,1511.4623,0.71316075
cg02560310,1729.5293,cg13042288,1571.2136,0.7021395
cg10483525,1723.5806,cg01373248,1571.5076,0.7343849
cg10483525,1723.5806,cg13541713,1448.0101,0.70495355
cg10483525,1723.5806,cg11282848,1440.1703,0.75031734
cg10483525,1723.5806,cg24588941,1544.9607,0.754138
cg10483525,1723.5806,cg13598864,1359.0057,0.7396956
cg25356419,1714.1821,cg22036872,1613.6108,0.70725286
cg25356419,1714.1821,cg00433147,1626.9347,0.7178374
cg25356419,1714.1821,cg24856699,1470.6787,0.7057668
cg25356419,1714.1821,cg23989709,1580.2942,0.7076281
cg25356419,1714.1821,cg05445187,1663.8412,0.72026
cg03015304,1702.2797,cg23997156,1550.7554,0.7354444
cg02641840,1699.9559,cg06442597,1568.1083,0.7158953
cg09841052,1691.5134,cg11801676,1555.5519,0.70157975
cg09841052,1691.5134,cg26525025,1331.3235,0.72599876
cg08313393,1680.383,cg05590570,1566.8522,0.7247565
