"","cg03463446","cg17805199","cg11616676","cg10138044","cg22780260","cg19310653","cg03598020","cg14459193","cg14596064","cg27189155","cg13217322","cg14904079","cg05769889","cg20087134","cg18647570","cg07093748","cg09269759","cg23200218","cg02560310","cg00340855","cg16887064","cg20745261","cg25589803","cg15279186","cg20030796","cg01674530","cg07253510","cg12563898","cg14821713","cg18127922","cg05594525","cg02941135","cg08470320","cg26427044","cg14067446","cg14725388","cg05885546","cg11105563","cg03534180","cg13451048","cg26516006","cg10762038","cg15884436","cg11312462","cg02853470","cg00972313","cg16985117","cg15058545","cg08501497","cg23529669","cg16299636","cg26345401","cg22315903","cg05471411","cg20248774","cg05788267","cg16941122","cg16959863","cg09314803","cg11596241","cg03896585","cg07755528","cg22200330","cg03967521","cg11382091","cg07642754","cg10122776","cg18160691","cg00901585","cg25284031","cg17102042","cg06410591","cg14272780","cg13714834","cg22540552","cg22470465","cg23092527","cg09214323","cg02707840","cg24280297","cg27189973","cg16196713","cg22053720","cg25981350","cg06975395","cg25499044","cg06086267","cg03791164","cg02259802","cg15197657","cg24767698","cg00425213","cg07904447","cg06791912","cg00271390","cg17007597","cg12407526","cg04701618","cg24384430","cg23890469","cg25735490","cg20246424","cg00885747","cg06643951","cg02133819","cg24933625","cg22806431","cg15310800","cg11341440"
"PDD38",0.9734337,0.7024201,0.02329776,0.8011689,0.9068514,0.726785,0.9401711,0.8863574,0.770177,0.7274363,0.6980089,0.9611835,0.09411463,0.7917659,0.7728073,0.5206298,0.6381903,0.8721626,0.8700222,0.8494026,0.8497577,0.9028734,0.9292851,0.7467215,0.7383192,0.6284756,0.9679939,0.6799777,0.02830201,0.3349724,0.2273729,0.5913114,0.8801566,0.2229164,0.9055589,0.7726744,0.5787163,0.7773009,0.8938773,0.4624994,0.8028039,0.901492,0.9276461,0.8254631,0.872398,0.7815411,0.8474348,0.4919692,0.9496706,0.8583477,0.8999461,0.7532724,0.7536854,0.9025661,0.2334112,0.9562711,0.6536806,0.960196,0.8150156,0.8758187,0.9541706,0.6305289,0.03131288,0.004280744,0.9826888,0.7954412,0.5708986,0.4859508,0.9003445,0.8272701,0.8183765,0.1072369,0.9460055,0.9223541,0.1262631,0.8723553,0.9615163,0.7606538,0.9212986,0.01747038,0.1553047,0.01376451,0.6181945,0.610957,0.9820968,0.8284147,0.7202141,0.7435103,0.778535,0.4409762,0.9162156,0.8046131,0.0280196,0.7107537,0.9376271,0.8910575,0.7331465,0.5518395,0.09486785,0.4045157,0.984358,0.9244394,0.9174157,0.8419667,0.8933255,0.1264444,0.6949841,0.929491,0.907526
"CTRL61",0.9687859,0.6783089,0.02219866,0.8101237,0.8680668,0.4926759,0.9450123,0.8074463,0.6768415,0.7835848,0.6470154,0.9098855,0.06778997,0.8371947,0.7774739,0.4675237,0.618136,0.8800928,0.8317796,0.7614382,0.8547265,0.8679037,0.8155891,0.7167327,0.6797628,0.6086938,0.9290667,0.8771497,0.0780119,0.2980935,0.2528013,0.473358,0.7789144,0.118789,0.9048648,0.7797586,0.4095876,0.8295853,0.9266509,0.4613653,0.7268699,0.9072339,0.9263897,0.8449652,0.8476527,0.709765,0.8758674,0.4848006,0.9519513,0.8991174,0.8553237,0.7346352,0.720577,0.9110431,0.29065,0.937954,0.5790416,0.9151714,0.8596839,0.8261808,0.9362004,0.5939074,0.01457808,0.00279495,0.9764254,0.6701659,0.4774332,0.3689503,0.8167889,0.8005171,0.7091388,0.1621943,0.8816405,0.89931,0.09824686,0.8375738,0.9525759,0.7928147,0.8990163,0.01317538,0.1163811,0.004338217,0.6664237,0.42592,0.9676864,0.8619092,0.6091663,0.6840485,0.7277523,0.4027723,0.8915971,0.667614,0.02377479,0.7205453,0.9290552,0.7791341,0.8582527,0.6126984,0.03411389,0.3822402,0.9769598,0.8056358,0.8985161,0.8281709,0.8968213,0.2368274,0.5866838,0.9123868,0.840785
"PDD23",0.9747159,0.7022853,0.07516615,0.8753603,0.885059,0.6311127,0.9492926,0.8306288,0.8327672,0.7637744,0.7673494,0.8544587,0.06426911,0.9349454,0.7908529,0.5981748,0.7012098,0.9493001,0.9161388,0.8888901,0.8714782,0.9190859,0.9265573,0.7224154,0.7344684,0.6140705,0.9658624,0.8061462,0.03366494,0.3754685,0.2178447,0.5765845,0.809888,0.1519394,0.9656646,0.7517138,0.5561692,0.7994277,0.9259711,0.5155164,0.8084222,0.9134856,0.9446659,0.8895415,0.8839063,0.685496,0.8766495,0.4836356,0.9425725,0.9365745,0.8811733,0.7074863,0.8164099,0.93066,0.2941177,0.9647934,0.631839,0.9302761,0.8389399,0.8977734,0.9691374,0.5933508,0.01542209,0.003365721,0.9845231,0.8009308,0.6257837,0.4070965,0.8548673,0.8700493,0.7448551,0.1134096,0.9155824,0.8863223,0.07994718,0.9471664,0.9668308,0.7705194,0.9332129,0.01258688,0.09481249,0.01497302,0.7280386,0.5134757,0.9661575,0.9254685,0.6567677,0.7438724,0.7615147,0.4885258,0.8885718,0.8540201,0.02919373,0.7352402,0.9448989,0.8779156,0.8883671,0.6193762,0.04100656,0.3373485,0.9842412,0.8985191,0.9126582,0.8170989,0.9070476,0.223156,0.6289392,0.9352952,0.9587916
"PDD21",0.9553424,0.6536329,0.04946122,0.8707734,0.9666795,0.6301079,0.9444565,0.9281553,0.8609499,0.7462588,0.7742181,0.9740935,0.0304059,0.8366606,0.7435534,0.6207515,0.6832993,0.8871258,0.8834074,0.9042921,0.805836,0.9309228,0.9290188,0.8192655,0.8305941,0.578982,0.9616306,0.7915141,0.07173743,0.2282783,0.2056861,0.6235027,0.8438428,0.2534436,0.8922881,0.8112152,0.4837824,0.7632902,0.8354066,0.498469,0.8935521,0.9491319,0.9541386,0.8512343,0.8840469,0.82674,0.8991954,0.5239377,0.9251501,0.8570816,0.8650769,0.7176864,0.7883242,0.9129144,0.2875904,0.9238336,0.6648759,0.9568545,0.7884293,0.9213357,0.9480766,0.6782391,0.03743397,0.003360537,0.9780706,0.8133235,0.7162141,0.4740199,0.8100221,0.8232691,0.798957,0.1197896,0.9038097,0.9042382,0.0985061,0.8761658,0.9574281,0.6509991,0.925256,0.01410828,0.1130574,0.01664093,0.6813926,0.7092029,0.9722206,0.8853655,0.8240881,0.7696218,0.7997578,0.3815804,0.9355189,0.835052,0.02971187,0.7585927,0.9576963,0.8729038,0.817592,0.7115437,0.09019912,0.3657235,0.9817492,0.902742,0.9062692,0.8665362,0.9513303,0.1053994,0.7511728,0.9560847,0.9150494
"PD29",0.9423621,0.6738008,0.05693455,0.799062,0.9073532,0.6007303,0.9097982,0.8132185,0.6901837,0.7513114,0.7178447,0.9039592,0.06326936,0.8271331,0.7567815,0.5282078,0.6427903,0.8328768,0.7836629,0.7721103,0.9030062,0.79704,0.810191,0.7412076,0.7083707,0.5242274,0.9460458,0.8588901,0.04495849,0.3886598,0.2418436,0.506772,0.7601589,0.249282,0.8992186,0.7743435,0.5378301,0.8578459,0.9265334,0.5487881,0.7271208,0.8269169,0.8939983,0.7999175,0.902683,0.7784489,0.8269557,0.4607856,0.9074363,0.883921,0.8355993,0.7031076,0.7677597,0.9271641,0.2565543,0.9550685,0.5646881,0.9348601,0.8403319,0.8319736,0.9354924,0.5874135,0.03296357,0.004761375,0.9538623,0.8073605,0.525876,0.3942837,0.8407481,0.769143,0.7143364,0.1227523,0.9090263,0.817241,0.08747929,0.8812668,0.9792485,0.8051481,0.8515772,0.01268683,0.1453147,0.005767013,0.650726,0.6312404,0.9496174,0.8771167,0.6018271,0.6331908,0.7027226,0.4070749,0.8813692,0.7172266,0.03758446,0.7480641,0.917595,0.7992688,0.7514643,0.6806387,0.05523432,0.3302965,0.9710559,0.8049338,0.8610777,0.7931864,0.8393082,0.25288,0.6403628,0.8785709,0.8204056
"PD5",0.9697533,0.653777,0.1580786,0.8128877,0.9583259,0.546046,0.9301223,0.8785532,0.8739377,0.6901976,0.7441648,0.9130241,0.06090111,0.899317,0.8331617,0.6202999,0.6972737,0.8994426,0.826029,0.8316438,0.80701,0.8978565,0.8959058,0.7953323,0.7418231,0.5327889,0.9380177,0.7803528,0.1502111,0.313187,0.205362,0.5600238,0.8461569,0.2941306,0.910337,0.7893267,0.4840926,0.8081782,0.8808302,0.5206333,0.8592903,0.9010083,0.9453822,0.8904024,0.8774167,0.787532,0.9187767,0.4144362,0.9224391,0.8842115,0.8325223,0.7062823,0.7925319,0.91092,0.325911,0.9147795,0.5931889,0.9317082,0.8373151,0.8805957,0.9358933,0.7004497,0.04531171,0.008329877,0.9611075,0.7613787,0.6102257,0.5176892,0.8706887,0.8185055,0.7933562,0.1214741,0.9207236,0.8670763,0.07458126,0.8911745,0.9512346,0.7437851,0.8990717,0.01766595,0.1404173,0.02118126,0.6676366,0.481856,0.9577278,0.837572,0.6970489,0.7530486,0.8350001,0.3556658,0.8791902,0.8638604,0.02606423,0.7543367,0.9539149,0.8822599,0.8374721,0.6429167,0.09177462,0.3655835,0.9775482,0.8718618,0.9105453,0.8721263,0.9356749,0.1945725,0.726258,0.9368885,0.8911659
"CTRL88",0.9679653,0.7297638,0.1006945,0.8954471,0.8939037,0.5725834,0.9177757,0.8704796,0.7804064,0.7989876,0.7105139,0.939762,0.0786802,0.8462877,0.8330885,0.5148157,0.6496947,0.8806817,0.9017234,0.8211423,0.8863035,0.9200544,0.8483931,0.800034,0.6835927,0.5927005,0.9225053,0.8503126,0.05920096,0.2956886,0.2819189,0.5714012,0.8051094,0.1937305,0.9219785,0.8621766,0.5358397,0.8317806,0.9283613,0.4340389,0.9138886,0.8740136,0.9387734,0.853053,0.8920279,0.787102,0.8417654,0.4227575,0.953306,0.8642813,0.8539478,0.7219145,0.8737807,0.8873454,0.3394555,0.9659126,0.6402785,0.9193505,0.7462656,0.8468272,0.9274614,0.5731418,0.01643956,0.008830144,0.9839502,0.7062736,0.5813501,0.3207189,0.8907594,0.8441052,0.7111708,0.1496399,0.9221733,0.9291273,0.1100068,0.8910229,0.9600509,0.7992465,0.90675,0.01585716,0.09784192,0.008675971,0.7039971,0.5361203,0.9769599,0.8705306,0.7285541,0.7228198,0.7382665,0.3909101,0.9370333,0.7733805,0.03060531,0.7653543,0.9556426,0.8815469,0.797341,0.7131537,0.1073414,0.3169689,0.9789572,0.8810272,0.9237258,0.8418532,0.8680599,0.2196199,0.6056878,0.9632788,0.9097237
"PD41",0.9766859,0.6756648,0.07004507,0.8648847,0.9175295,0.6767371,0.9779529,0.8770975,0.698095,0.7503052,0.6894065,0.9050739,0.0979942,0.8473818,0.8140908,0.583858,0.6818385,0.866548,0.8109269,0.8267266,0.8396347,0.9026222,0.8650629,0.7963441,0.7055796,0.5875586,0.9548019,0.7095524,0.06667708,0.3743975,0.2095134,0.6538111,0.7982246,0.1962772,0.919242,0.8163131,0.5020708,0.8100707,0.9103328,0.5536874,0.7981805,0.8364149,0.9320087,0.8184142,0.8864439,0.7981767,0.8651817,0.463759,0.9259468,0.9791576,0.8364851,0.7460423,0.8129564,0.9181193,0.324743,0.935801,0.6474188,0.9603872,0.838245,0.8483603,0.9686856,0.5840258,0.04403141,0.001455964,0.9690971,0.7491093,0.5678293,0.4566523,0.8061086,0.8448687,0.761032,0.1100938,0.8919014,0.8708532,0.08697315,0.8525581,0.9651202,0.8086117,0.9534594,0.008958446,0.114704,0.009650866,0.6582208,0.6345531,0.9710961,0.8318117,0.6696892,0.705521,0.7282487,0.3812341,0.8658147,0.8064261,0.04119187,0.7182672,0.9384702,0.8254391,0.8621206,0.5205128,0.1072343,0.3636725,0.9804011,0.8400462,0.8756786,0.8244351,0.9154432,0.2314294,0.7291284,0.9307049,0.8309285
"PDD39",0.9364281,0.6622916,0.04723844,0.8274774,0.9542,0.5523855,0.9111827,0.8375823,0.7780967,0.6751616,0.7509334,0.9586781,0.0899595,0.850301,0.7817383,0.4977949,0.6546933,0.8592795,0.8659398,0.8713185,0.7385599,0.9103122,0.9032796,0.7260861,0.7416197,0.541886,0.968523,0.6372234,0.02776817,0.2641576,0.2124931,0.6499753,0.8231395,0.259118,0.9155223,0.7665047,0.4075798,0.712263,0.7979009,0.4423468,0.8225987,0.8997746,0.9236278,0.8222915,0.8014209,0.8067191,0.86378,0.3914822,0.8989298,0.8263867,0.8226879,0.7235866,0.681661,0.8974544,0.2499692,0.9135897,0.6363555,0.9319829,0.8137795,0.8443688,0.8916023,0.5378619,0.02239168,0.01094114,0.9760186,0.7100544,0.650698,0.4598018,0.8196873,0.7740231,0.6891245,0.1491156,0.9081472,0.8885262,0.06461819,0.8076317,0.9435897,0.6784693,0.892423,0.0160582,0.09023603,0.01464714,0.6661075,0.6285969,0.9833846,0.8561998,0.7482293,0.6866243,0.7514261,0.3624139,0.8858077,0.8045349,0.04186963,0.6614648,0.939794,0.8705957,0.7957122,0.5843463,0.08377131,0.3501281,0.9849831,0.8526336,0.8321031,0.7852845,0.9294186,0.1420694,0.6285396,0.9425827,0.8146537
"PD11",0.9750546,0.6612717,0.02436774,0.837644,0.9431987,0.663385,0.9562901,0.8547294,0.7339321,0.7369506,0.7162294,0.9503441,0.0605907,0.8374569,0.8295452,0.6389186,0.681624,0.9087878,0.8351159,0.9171056,0.8242393,0.8998941,0.89821,0.7718396,0.7794608,0.6946385,0.9592939,0.6611257,0.06852508,0.3642372,0.2436986,0.5569393,0.848795,0.2922783,0.9366646,0.8086343,0.5029454,0.7874998,0.948053,0.5622502,0.8327837,0.9228032,0.9230109,0.8530773,0.8912036,0.7776108,0.8658351,0.4637872,0.9367318,0.9369395,0.8026537,0.8116459,0.7899222,0.8968607,0.3005013,0.959683,0.6490548,0.9474675,0.8100173,0.8883732,0.9474688,0.580487,0.01172658,0.001435301,0.9677032,0.7570556,0.703509,0.4629527,0.8434885,0.8718595,0.7688079,0.1330384,0.9382753,0.9163049,0.2144049,0.89547,0.9746974,0.7649147,0.9292736,0.0192795,0.1993343,0.006463101,0.7531595,0.5580737,0.9725084,0.8938527,0.7614605,0.7548288,0.7631957,0.3511412,0.9384847,0.7730168,0.02901978,0.7468668,0.961234,0.8482795,0.866257,0.6093197,0.06714209,0.3892993,0.9806171,0.8608665,0.8870563,0.8156978,0.8790798,0.2290792,0.6562441,0.9567314,0.8873604
