base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg17575113,726.1919,cg11675418,615.722,0.722189
cg17575113,726.1919,cg12010133,686.2706,0.7473007
cg17575113,726.1919,cg08068314,606.04456,0.74293965
cg17575113,726.1919,cg27292710,605.5205,0.7130914
cg17575113,726.1919,cg25953503,683.7102,0.8366086
cg17575113,726.1919,cg07235652,655.5536,-0.7830402
cg02259802,673.29987,cg02492280,621.0541,0.7202445
cg02259802,673.29987,cg10219803,614.7743,0.73041606
cg02259802,673.29987,cg14700650,576.90704,0.703772
cg00290101,656.13916,cg06056244,512.08167,0.7037488
cg00290101,656.13916,cg20375654,649.50323,0.95712745
cg18566095,651.4686,cg14289429,582.6666,0.76908594
cg18566095,651.4686,cg22238977,566.2163,0.7178338
cg18566095,651.4686,cg11267527,529.52606,0.73964125
cg18566095,651.4686,cg14799392,584.51733,0.7332134
cg03689120,617.0785,cg13450005,557.80835,0.71255845
cg25356419,599.7475,cg17546235,543.98975,0.70756376
cg25356419,599.7475,cg00898880,528.85406,0.7155124
cg03015304,590.13745,cg01871358,576.2726,0.7248829
cg02641840,589.6789,cg18914967,386.02423,0.71647877
cg10473465,569.79614,cg24073666,559.1155,0.72556645
cg18160691,555.00104,cg04162647,483.75677,0.7816888
cg18160691,555.00104,cg18273412,537.703,0.7650319
cg15826704,552.5402,cg23555829,457.6286,0.73051053
cg25565102,533.7727,cg24164254,477.02322,0.7210573
cg18973628,503.18475,cg05019807,462.41992,0.7039476
cg05354926,500.97427,cg23068312,480.0528,0.80295056
cg05354926,500.97427,cg19297251,472.22137,0.7294621
cg09254101,498.99335,cg13132440,418.43466,0.7036651
cg10833037,489.3345,cg09972192,439.64655,0.70294935
cg12548264,488.89392,cg09788796,467.814,0.7488591
cg12548264,488.89392,cg08765228,405.02908,0.7058364
cg12548264,488.89392,cg19247877,417.31558,0.7333916
cg16447925,313.19995,cg10022978,266.72104,0.7863507
