"","cg05533922","cg05238843","cg10401223","cg09447640","cg17414971","cg10351360","cg13841043","cg12961175","cg26532087","cg23261533","cg10655125","cg21808985","cg08717168","cg21699868","cg22629941","cg12997640","cg11927004","cg12777530","cg07711600","cg18374944","cg08492515","cg17502102","cg03260858","cg08219548","cg07750690","cg26382680","cg24224180","cg02673680","cg08709087","cg08909934","cg01755841","cg06001803","cg27153146","cg05017379","cg25784611","cg09024948","cg11420269","cg01727409","cg08406749","cg15524170","cg17810601","cg24911714","cg26029058","cg10637657","cg21195480","cg22524462","cg22199238","cg13538749","cg07345911","cg00775816","cg13102418","cg22510961","cg03040092","cg14841103","cg15765046","cg17346974","cg16488105","cg17292712","cg03234023","cg17741937","cg20075042","cg10223464","cg17139988","cg14736971","cg04549489","cg19888581","cg05217838","cg10894567","cg09296845","cg03741773","cg19903593"
"PDD38",0.2877797,0.879344,0.9549397,0.8501574,0.9705658,0.9665615,0.9341071,0.9596334,0.9669914,0.974239,0.982715,0.9432973,0.8677572,0.8783143,0.9016616,0.9487758,0.7121736,0.9546441,0.9250625,0.9344823,0.001721345,0.955288,0.872855,0.9933597,0.8893671,0.944444,0.966364,0.9404904,0.9825359,0.9569445,0.3602116,0.9615464,0.9831847,0.01143539,0.8793434,0.9419372,0.8978727,0.909368,0.9791697,0.7982561,0.9579547,0.8659656,0.8679518,0.9456352,0.9756551,0.9483908,0.6121714,0.9608898,0.8670827,0.8301973,0.96593,0.5709937,0.8174047,0.6222672,0.8531169,0.4202617,0.9084081,0.957028,0.9845893,0.8842852,0.8804085,0.8614618,0.9446231,0.9783962,0.9721016,0.9577465,0.9401054,0.9683798,0.967768,0.9881931,0.9715386
"CTRL61",0.2536253,0.8550829,0.9640341,0.8851636,0.9534449,0.9634513,0.9198617,0.9634901,0.9598411,0.9814643,0.977105,0.9390239,0.8846814,0.8811997,0.9220809,0.9378593,0.9719723,0.9391822,0.9118866,0.9248706,0.001999809,0.9192491,0.8636902,0.9835573,0.7955297,0.9169506,0.9649133,0.9489564,0.9838935,0.9397596,0.4344286,0.9356266,0.969396,0.02195267,0.8827187,0.9549766,0.8365205,0.8955422,0.9734578,0.8558127,0.9662478,0.8733082,0.8493578,0.9566021,0.9614925,0.9363692,0.6939105,0.9517137,0.9405112,0.8071548,0.9393373,0.4553504,0.700368,0.6563253,0.8444599,0.3367205,0.8935875,0.9690824,0.9909903,0.8581581,0.9239198,0.9232894,0.7918868,0.9828463,0.9584892,0.9809011,0.9593995,0.9640817,0.9213836,0.9853485,0.9282978
"PDD23",0.3561926,0.8822825,0.9551281,0.9207198,0.9779904,0.9280523,0.9004153,0.8885194,0.9703095,0.9860406,0.9910247,0.9333542,0.9179436,0.9210471,0.9301692,0.9409391,0.9717788,0.9435626,0.94802,0.9712234,0.003491015,0.9569463,0.914355,0.9989489,0.921107,0.9221946,0.9581326,0.9374103,0.9878589,0.95562,0.3626352,0.9543825,0.9703585,0.02059043,0.9258342,0.9639683,0.8644097,0.9341262,0.9806879,0.821153,0.9693738,0.9194336,0.8887528,0.9661368,0.9788769,0.9723241,0.6846599,0.9717479,0.9000751,0.8732925,0.9792724,0.4486203,0.7958696,0.733151,0.9336141,0.5611488,0.9059129,0.9596819,0.9933163,0.8775502,0.9398725,0.9317686,0.8624092,0.9830334,0.9556832,0.9680802,0.9772684,0.9660304,0.9401272,0.985285,0.8903538
"PDD21",0.357226,0.9032567,0.9607678,0.8816667,0.9365482,0.9252039,0.914857,0.9742342,0.9813592,0.9715983,0.9794466,0.9447387,0.9027082,0.866837,0.8474389,0.9489987,0.9646321,0.9616316,0.9255041,0.9002227,0.005439599,0.9655908,0.8663107,0.9761865,0.8826471,0.9430607,0.957177,0.9178512,0.9678671,0.9068967,0.354119,0.9777852,0.9729415,0.01572748,0.8984196,0.9569546,0.9318983,0.9234362,0.9843911,0.7901152,0.9719629,0.8940998,0.8704454,0.9555803,0.9507675,0.9302214,0.6716693,0.9716373,0.931556,0.9117743,0.969377,0.5868769,0.806714,0.7131579,0.9217053,0.2568148,0.892036,0.9653044,0.9913915,0.8570961,0.9338431,0.9202383,0.8984557,0.9872842,0.9515345,0.9727469,0.9591877,0.9704904,0.9911813,0.9907485,0.9486192
"PD29",0.3283141,0.8485425,0.9350675,0.845317,0.9523427,0.9464002,0.8412457,0.9269181,0.9588398,0.9590257,0.9807823,0.9125519,0.8992057,0.8168434,0.8374829,0.9235546,0.9628133,0.9180013,0.8387005,0.9401696,0.005816749,0.9398327,0.7976549,0.9892385,0.8580313,0.9097908,0.9586095,0.919949,0.994465,0.9253397,0.4113506,0.959664,0.9660964,0.02001076,0.8097281,0.9002641,0.8370285,0.8762588,0.9580109,0.7582125,0.9418953,0.8791608,0.81987,0.9567158,0.9646079,0.9497352,0.6633321,0.9622801,0.9367432,0.8208492,0.9756709,0.5929856,0.7195234,0.7115866,0.9031859,0.3815058,0.8679202,0.9555577,0.9898749,0.789194,0.8991392,0.8916883,0.8552619,0.9724086,0.9326384,0.9649987,0.9530993,0.9626121,0.9396714,0.9817817,0.9295723
"PD5",0.2864481,0.8928571,0.9437302,0.923429,0.9498839,0.9329143,0.8815074,0.9463626,0.9587881,0.9458148,0.9637155,0.922508,0.9218473,0.9038427,0.8949945,0.9284253,0.9499163,0.9135665,0.9065906,0.9183711,0.01764243,0.9318052,0.8834932,0.9704372,0.8701763,0.9067978,0.9393709,0.934566,0.967098,0.921155,0.3998065,0.9479942,0.969135,0.01936382,0.8636927,0.8607466,0.9146993,0.8574373,0.9423043,0.7510196,0.9560859,0.920251,0.8384844,0.9530544,0.9464977,0.9287853,0.7852005,0.9575673,0.8902777,0.8850424,0.9612059,0.589051,0.7884177,0.7506854,0.8903014,0.390584,0.9018895,0.9448478,0.9876916,0.8175404,0.9167781,0.9167083,0.9407359,0.9759213,0.9645603,0.9231899,0.9590628,0.9625656,0.9484993,0.987236,0.9386567
"CTRL88",0.3079591,0.8632794,0.9436749,0.9184592,0.9456922,0.911839,0.9530957,0.936024,0.9682688,0.9822416,0.9728481,0.9380456,0.9241159,0.9000647,0.9109583,0.9231382,0.979834,0.9485794,0.9149779,0.931217,0.005317298,0.9438606,0.8819126,0.9847943,0.9096199,0.9417951,0.9740472,0.931305,0.979424,0.9608016,0.3778545,0.9713849,0.9810582,0.01305271,0.8446631,0.9273741,0.9148785,0.9376788,0.9715289,0.7953054,0.9600704,0.896986,0.9205633,0.9619744,0.9181896,0.9168272,0.674818,0.9784575,0.9132742,0.8894094,0.9547495,0.4691519,0.6503748,0.722395,0.9049825,0.4390679,0.8698461,0.9572252,0.9854409,0.9064041,0.941988,0.8906433,0.830723,0.9797248,0.95665,0.957962,0.9780693,0.9514321,0.9452137,0.9876847,0.9314153
"PD41",0.3341697,0.9022005,0.9657209,0.8743649,0.9409602,0.9623874,0.9388307,0.9585811,0.9587489,0.9819226,0.9738145,0.9619897,0.9082386,0.7940212,0.953409,0.9644203,0.9700278,0.9826322,0.8566615,0.929411,0.005637892,0.9458338,0.8667165,0.974786,0.8696777,0.9011688,0.9453812,0.9283502,0.9792256,0.9126934,0.348672,0.9646731,0.9694178,0.02374549,0.8815585,0.8854753,0.8888741,0.9443431,0.968743,0.8086505,0.9606253,0.8998654,0.8825143,0.9668912,0.9677693,0.9497323,0.614549,0.9616804,0.9564861,0.8501028,0.9592281,0.6944148,0.8460746,0.7533253,0.9483256,0.4339343,0.9019508,0.9642488,0.9852925,0.849909,0.8807451,0.9218584,0.8702629,0.9839509,0.9491113,0.9652618,0.947441,0.9519917,0.9509009,0.9824849,0.9260617
"PDD39",0.2937401,0.8791686,0.9529319,0.9085148,0.9563164,0.9505425,0.9077261,0.9589598,0.9531549,0.9766641,0.9664109,0.9249396,0.883822,0.8617979,0.9129549,0.9509199,0.9570482,0.9558517,0.9257725,0.9228435,0.004485841,0.9325387,0.8488725,0.9882016,0.8609751,0.8704017,0.9559628,0.8833635,0.9530763,0.8895019,0.3785291,0.9679061,0.9647243,0.02054727,0.8273233,0.9239935,0.8679764,0.908636,0.9720459,0.7333772,0.9654683,0.8797651,0.8449705,0.9490565,0.9301216,0.9473616,0.5130587,0.969166,0.9410898,0.8548239,0.9280545,0.5853586,0.7915807,0.6998477,0.9775676,0.2328337,0.8758388,0.961477,0.9913503,0.8216305,0.9156077,0.9031835,0.9276121,0.9894747,0.9622572,0.9763334,0.9583763,0.9342115,0.9723331,0.9883657,0.8931216
"PD11",0.3648652,0.8914853,0.9525318,0.8973725,0.952847,0.9286525,0.9080723,0.9421685,0.9617642,0.9633533,0.9895219,0.9415481,0.8890436,0.8823692,0.9258317,0.958143,0.9696241,0.95712,0.8858182,0.9401293,0.005853593,0.9374718,0.8636451,0.9850692,0.9295474,0.9139022,0.9585093,0.9329196,0.9617012,0.9433285,0.3726086,0.9695229,0.9604133,0.006914362,0.8735077,0.9295995,0.9188408,0.8852871,0.97415,0.7848542,0.96208,0.9126445,0.8332091,0.9517935,0.9660244,0.9627943,0.7347283,0.966272,0.9308847,0.8770856,0.9557125,0.6689391,0.8282886,0.7167459,0.9282565,0.3517866,0.8844934,0.9641333,0.9920427,0.839815,0.911861,0.9292628,0.8903904,0.9847559,0.9364677,0.9633304,0.9650546,0.9641529,0.9657339,0.9833872,0.9329011
