base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg19938167,866.3223,cg16510440,856.315,0.9268837
cg05775451,851.82996,cg15243630,784.02545,0.71770084
cg05775451,851.82996,cg08643005,803.8112,0.7341958
cg20193999,835.7375,cg01661001,811.443,0.7252811
cg23601736,825.1873,cg02864754,811.81836,0.72445077
cg25878872,813.8442,cg26036199,738.82324,0.72033703
cg27637706,802.44037,cg11186468,676.97766,0.7020852
cg11585912,785.2423,cg08087447,767.4297,0.7085926
cg11585912,785.2423,cg02820040,680.42035,0.7178259
cg11585912,785.2423,cg06149826,754.11115,0.7376302
cg27491613,785.13513,cg20652681,774.5011,0.77083164
cg00838561,774.2592,cg05692960,725.4935,0.74885684
cg00838561,774.2592,cg21531685,741.2421,0.7310366
cg02560310,769.5443,cg00604009,727.785,0.72322726
cg25411987,762.9527,cg11758127,754.5415,0.71146536
cg18347896,745.0044,cg02871827,699.68005,0.700318
cg03440066,728.32227,cg13370357,720.3326,-0.70423484
cg18292434,712.06036,cg08461339,684.9331,0.7049543
cg23852422,706.428,cg06798846,567.8221,0.71584773
cg10718614,704.331,cg13564880,626.3692,0.7171387
cg23997156,701.81445,cg17136195,654.0146,0.7282802
cg10526325,699.3926,cg09189354,656.60675,0.7222662
cg10526325,699.3926,cg11646751,690.05646,0.73913664
cg22606325,687.11334,cg18691626,674.4422,0.7166385
cg00477752,681.20874,cg10100287,663.5504,0.7056483
cg13320202,675.1724,cg04434328,655.3959,0.7076812
cg13320202,675.1724,cg16555909,623.6264,0.72082824
cg03169836,639.0763,cg01841797,549.16895,0.713576
cg05384610,582.4999,cg08224307,541.34705,0.7008095
cg02640331,560.6411,cg07056507,528.78503,-0.7420572
cg11493162,271.3711,cg19244965,262.59918,0.7375715
