base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg12042864,358.21,cg26620724,326.7537,0.72151583
cg12042864,358.21,cg09588492,354.6222,0.78421503
cg05055322,346.70212,cg08116832,295.52936,0.7057055
cg05055322,346.70212,cg02396728,337.7903,0.9340159
cg05055322,346.70212,cg10470408,301.63477,0.72055465
cg05055322,346.70212,cg27403117,302.77554,-0.72224367
cg06573629,318.13034,cg10680826,309.763,0.7266526
cg06573629,318.13034,cg08320359,267.6433,0.72143424
cg00775816,314.58118,cg17481187,306.18753,0.7210075
cg10483525,304.08493,cg17344321,284.65955,0.7313997
cg10483525,304.08493,cg11164865,279.21906,0.7348457
cg09175009,263.63672,cg04344875,236.52155,0.7231941
cg21533262,239.77928,cg07351059,212.39899,-0.73857456
