"","cg05213073","cg17805199","cg07996485","cg23834525","cg23657782","cg07918736","cg00208274","cg06952719","cg17434329","cg01866897","cg01684784","cg14904079","cg00391977","cg21057613","cg13690038","cg20357416","cg15175129","cg14318068","cg10159529","cg12372924","cg21598294","cg21864071","cg07253510","cg06340519","cg08051076","cg24665412","cg18993457","cg16582273","cg18961944","cg18127922","cg18880384","cg02276614","cg14856606","cg04030905","cg22181664","cg02853470","cg21700774","cg25936334","cg18879998","cg12556775","cg04956254","cg20936920","cg03766823","cg12315735","cg15524170","cg24517989","cg12882476","cg00657759","cg20822380","cg04892765","cg10778636","cg08368441","cg26115216","cg23458989","cg05162137","cg05279387","cg22364932","cg24855045","cg07729842","cg03321592","cg03967521","cg21157115","cg06410591","cg12273368","cg14540792","cg11423096","cg20015921","cg21595526","cg01785566","cg24683035","cg19259574","cg00801765","cg06878361","cg10687936","cg24384430","cg26222689","cg00612672","cg22878489","cg16115647","cg05739014","cg05747963","cg09638266","cg16085649","cg23986918","cg24287218","cg15310800","cg22250642","cg11341440"
"PDD38",0.9738304,0.7024201,0.945312,0.08409271,0.9567644,0.6208458,0.4259863,0.03789176,0.9735583,0.9508992,0.8816582,0.9611835,0.5287801,0.01500536,0.007524621,0.7936857,0.1862449,0.8691964,0.9133462,0.9787117,0.9771158,0.006468567,0.9679939,0.9197744,0.005796447,0.9375582,0.1661795,0.1328688,0.009945575,0.3349724,0.4094878,0.9400453,0.9234786,0.01854773,0.9224026,0.872398,0.9893656,0.0741814,0.972051,0.9928144,0.8901452,0.9115655,0.009448968,0.8586791,0.7982561,0.7543403,0.005674979,0.01095858,0.8991698,0.6729586,0.667983,0.02043222,0.8643048,0.8744878,0.007170436,0.5747368,0.9635666,0.7279648,0.5531158,0.03297453,0.004280744,0.000367079,0.1072369,0.1936774,0.1540172,0.4417416,0.01535768,0.009882701,0.9730704,0.01024867,0.0231748,0.8821578,0.09888319,0.9402773,0.09486785,0.9366666,0.8787557,0.5809162,0.1596266,0.9777273,0.9549537,0.9297755,0.4368394,0.8607386,0.755438,0.929491,0.003741315,0.907526
"CTRL61",0.9664538,0.6783089,0.9282933,0.06589156,0.9753684,0.7637262,0.4182441,0.02695556,0.9414596,0.9555746,0.8986366,0.9098855,0.3884809,0.0121695,0.009945972,0.7828489,0.221219,0.8152806,0.915799,0.9682326,0.9664546,0.01041241,0.9290667,0.8758696,0.01054292,0.8956672,0.1542515,0.09284848,0.004837152,0.2980935,0.4782085,0.9444045,0.8669251,0.008042587,0.9117333,0.8476527,0.9815817,0.06506399,0.9584026,0.9917197,0.8312336,0.9425799,0.008408639,0.9082312,0.8558127,0.6600246,0.00966693,0.01500028,0.8979311,0.6176261,0.6595802,0.0189184,0.8448276,0.8961758,0.02057341,0.5286613,0.9736735,0.6821771,0.5408906,0.01154565,0.00279495,0.0003258238,0.1621943,0.2996455,0.1951968,0.4254485,0.01912858,0.00190096,0.9731917,0.01439019,0.02694366,0.873836,0.04644579,0.9514473,0.03411389,0.9440031,0.9111287,0.5263808,0.1346779,0.9803974,0.9370173,0.9022998,0.4143732,0.9029381,0.7006648,0.9123868,0.004250496,0.840785
"PDD23",0.9471391,0.7022853,0.9500215,0.05590686,0.9684569,0.6996794,0.4006129,0.02309741,0.960812,0.9598576,0.8996161,0.8544587,0.4806349,0.01016396,0.01100597,0.7915845,0.2761302,0.8479073,0.9430835,0.9862861,0.9790704,0.008348457,0.9658624,0.9301388,0.01333437,0.9226725,0.1691331,0.08536611,0.005717315,0.3754685,0.5016051,0.9422969,0.8527451,0.005726054,0.9335689,0.8839063,0.9887677,0.05002952,0.9692143,0.9900146,0.8113422,0.950898,0.002868573,0.9192228,0.821153,0.7248372,0.005797314,0.006426983,0.9177093,0.6668653,0.6923372,0.0149312,0.8592183,0.8752473,0.003464703,0.5397517,0.9767353,0.6590255,0.5805062,0.02599452,0.003365721,0.0005714356,0.1134096,0.2002273,0.2385929,0.5399377,0.01394519,0.009828976,0.9668994,0.007746741,0.02638395,0.8676136,0.09823819,0.9231701,0.04100656,0.9499032,0.8685685,0.567897,0.1516078,0.9825534,0.9691513,0.9481366,0.4979271,0.839716,0.7502472,0.9352952,0.004251417,0.9587916
"PDD21",0.978358,0.6536329,0.9380581,0.09644524,0.9536484,0.7074646,0.4624548,0.006322328,0.9626781,0.9496012,0.9239213,0.9740935,0.4755886,0.01458351,0.01378924,0.7958734,0.289502,0.8729093,0.900256,0.9695931,0.9467448,0.001446534,0.9616306,0.9149382,0.01068999,0.9061992,0.1157284,0.2458751,0.00457026,0.2282783,0.4592811,0.9447888,0.8136284,0.01261787,0.9192018,0.8840469,0.9835152,0.06979427,0.952507,0.9830675,0.9172834,0.9635615,0.00510803,0.9164629,0.7901152,0.5683814,0.004976009,0.0145414,0.946743,0.6900434,0.6767436,0.03138969,0.9114746,0.8912506,0.006768914,0.5176376,0.9752477,0.839168,0.5010603,0.03751617,0.003360537,0.0005913671,0.1197896,0.2574875,0.1128617,0.4023349,0.02121352,0.009951881,0.9723456,0.009601495,0.03016391,0.8676022,0.1621315,0.9288896,0.09019912,0.9617912,0.9126834,0.5689942,0.2600709,0.9832315,0.9477734,0.9501629,0.3479983,0.8553779,0.8091594,0.9560847,0.01284265,0.9150494
"PD29",0.9211043,0.6738008,0.9147337,0.08886419,0.9704687,0.6667285,0.3784909,0.03472317,0.9375366,0.9674842,0.8998801,0.9039592,0.3909604,0.0169452,0.009597806,0.696902,0.1980129,0.8587174,0.8615671,0.9746915,0.9359633,0.01048025,0.9460458,0.9048423,0.01125947,0.9073833,0.1456291,0.06960543,0.005897639,0.3886598,0.5533235,0.9347227,0.8060527,0.01859513,0.9047848,0.902683,0.9595766,0.06615044,0.961046,0.9783844,0.8133438,0.9286342,0.00886198,0.9008143,0.7582125,0.5769079,0.00528169,0.01851224,0.8834249,0.5311151,0.6561391,0.02478393,0.912993,0.7897673,0.01494065,0.4936187,0.9564427,0.6854033,0.6437029,0.04872096,0.004761375,0.002424824,0.1227523,0.3101776,0.1739142,0.3837458,0.02858052,0.01465387,0.9531403,0.002315747,0.0258518,0.7845891,0.1262543,0.9732756,0.05523432,0.9346716,0.7707124,0.5393572,0.159817,0.9741107,0.9347489,0.9334165,0.3844375,0.8152911,0.6449321,0.8785709,0.01275204,0.8204056
"PD5",0.9555912,0.653777,0.9572713,0.09057767,0.9302993,0.7486521,0.3744642,0.03225012,0.9430905,0.9471082,0.9250705,0.9130241,0.489349,0.0210476,0.02968338,0.750858,0.2780514,0.8952018,0.9097302,0.9315284,0.9561863,0.02379529,0.9380177,0.8784302,0.03397551,0.8625133,0.09966737,0.1946828,0.01856108,0.313187,0.414139,0.9149913,0.8262409,0.01832921,0.9142883,0.8774167,0.9708053,0.06756245,0.9635553,0.9757439,0.8156536,0.8702174,0.02085943,0.9074113,0.7510196,0.7141992,0.01864255,0.01952031,0.8780602,0.7129758,0.6429442,0.03059405,0.8637524,0.9063579,0.02206027,0.5849369,0.9607178,0.7517264,0.6335483,0.04034616,0.008329877,0.00633181,0.1214741,0.274074,0.1843825,0.4911231,0.03737828,0.01932166,0.9619749,0.01371921,0.03109501,0.7971211,0.07379578,0.9082346,0.09177462,0.9265607,0.8553398,0.6118353,0.1898484,0.9696734,0.9365108,0.9268283,0.4421731,0.8859822,0.8235217,0.9368885,0.02221143,0.8911659
"CTRL88",0.966948,0.7297638,0.9053922,0.06959204,0.9721798,0.703483,0.4344941,0.03516814,0.9530544,0.9705758,0.9340909,0.939762,0.4494339,0.008348135,0.009019701,0.83193,0.2408661,0.8283366,0.8888078,0.9729442,0.985309,0.009036785,0.9225053,0.8460021,0.008898077,0.9447444,0.1569727,0.1288156,0.006250682,0.2956886,0.5955557,0.9539395,0.8991182,0.01464944,0.874967,0.8920279,0.9834217,0.05259609,0.9526933,0.9875592,0.8208466,0.9180589,0.01470738,0.9167064,0.7953054,0.7213736,0.006432641,0.006975874,0.9212322,0.6914029,0.6956248,0.01793826,0.890939,0.914008,0.006996723,0.5625491,0.9673306,0.6855022,0.5898983,0.03093999,0.008830144,0.0003395647,0.1496399,0.3136874,0.2059754,0.4159167,0.02438203,0.00383814,0.9771298,0.002267574,0.01860095,0.8284551,0.09902037,0.9320473,0.1073414,0.947601,0.931226,0.5456683,0.1550848,0.975122,0.9573965,0.9398627,0.3918614,0.8831419,0.7379418,0.9632788,0.00451491,0.9097237
"PD41",0.9498807,0.6756648,0.9131433,0.09650725,0.9656466,0.770296,0.4331861,0.01325213,0.9624619,0.9686605,0.9134194,0.9050739,0.4964345,0.003899569,0.01729762,0.7353562,0.2613184,0.873267,0.8811944,0.9735142,0.9658633,0.01065748,0.9548019,0.9059633,0.01279035,0.9200558,0.1436197,0.1260548,0.01056659,0.3743975,0.5579117,0.9584126,0.9367706,0.006805321,0.8862813,0.8864439,0.9883712,0.05773857,0.9580457,0.981668,0.8167973,0.9478729,0.009125906,0.8637992,0.8086505,0.6635452,0.001607394,0.01136454,0.8991431,0.7652618,0.6480311,0.02102601,0.7815735,0.8808799,0.003458771,0.5267293,0.9812923,0.7607231,0.5723775,0.05243446,0.001455964,0.0001412246,0.1100938,0.4078185,0.2756426,0.4179448,0.03624005,0.002151033,0.9709846,0.01167502,0.02550387,0.8328015,0.1274093,0.944574,0.1072343,0.9265901,0.8471977,0.5671853,0.2174966,0.9734294,0.9266144,0.926781,0.4544985,0.9060993,0.7515062,0.9307049,0.006937114,0.8309285
"PDD39",0.9751342,0.6622916,0.9414366,0.1031095,0.9349338,0.687101,0.382975,0.01849925,0.9488235,0.9516184,0.8893388,0.9586781,0.4450396,0.0091957,0.02698048,0.7363177,0.2607549,0.8788646,0.8983804,0.9680822,0.9620026,0.01232479,0.968523,0.8132621,0.01004055,0.8773697,0.1168475,0.1165566,0.01291182,0.2641576,0.3899413,0.916567,0.8787814,0.02098971,0.9311705,0.8014209,0.9707122,0.06574249,0.9455835,0.9832795,0.8249504,0.9561521,0.007044114,0.864711,0.7333772,0.549397,0.01308691,0.005358074,0.8614966,0.7168139,0.5520284,0.0187722,0.7695737,0.8493561,0.01182884,0.4128629,0.9757756,0.7311805,0.4733574,0.04086767,0.01094114,0.004402137,0.1491156,0.2035244,0.0991443,0.3962788,0.02314229,0.01292022,0.9577966,0.0136763,0.02345342,0.7459244,0.0727435,0.9342705,0.08377131,0.9004977,0.8334722,0.5861781,0.1648569,0.986389,0.9455817,0.9258889,0.2628568,0.9014865,0.7140893,0.9425827,0.01512514,0.8146537
"PD11",0.9750815,0.6612717,0.9361523,0.110787,0.9482982,0.6906225,0.3657438,0.0182577,0.9512283,0.9642051,0.9137872,0.9503441,0.4721863,0.01065936,0.008888889,0.7924153,0.2490606,0.8816145,0.8841958,0.9750286,0.95478,0.01355793,0.9592939,0.882533,0.01300856,0.8975747,0.1043369,0.06634109,0.004826064,0.3642372,0.3240307,0.9497437,0.877261,0.01772897,0.883066,0.8912036,0.9849577,0.05786026,0.9577357,0.979953,0.8805363,0.9597345,0.002685197,0.8982814,0.7848542,0.7260417,0.001680108,0.01980221,0.939336,0.6785111,0.7180183,0.01477131,0.8546356,0.8996679,0.002909984,0.563946,0.9401999,0.7432465,0.5680193,0.02729654,0.001435301,0.0001031062,0.1330384,0.3365544,0.2068129,0.5159993,0.03750713,0.006891519,0.9810161,0.0187643,0.02719118,0.8298926,0.157414,0.9298545,0.06714209,0.9396456,0.85368,0.556311,0.2623945,0.9763522,0.952633,0.9450215,0.377664,0.924002,0.7546696,0.9567314,0.007847372,0.8873604
