"","cg02347483","cg02294411","cg04311964","cg26345401","cg27150954","cg12406559","cg20850582","cg17286854"
"PDD38",0.8946413,0.09450635,0.9030742,0.7532724,0.6189833,0.01228287,0.02695035,0.8604402
"CTRL61",0.7967692,0.09317378,0.8946276,0.7346352,0.5720525,0.009684997,0.03003763,0.9391841
"PDD23",0.8762085,0.08444463,0.9156127,0.7074863,0.6176857,0.01163401,0.02858656,0.9355897
"PDD21",0.9502842,0.2092833,0.8819773,0.7176864,0.5909187,0.004884567,0.02699272,0.8923202
"PD29",0.858144,0.1445259,0.8530378,0.7031076,0.5101151,0.03487868,0.02571232,0.8693314
"PD5",0.9111639,0.1528426,0.9391216,0.7062823,0.6534387,0.03216088,0.04184024,0.8613549
"CTRL88",0.8900204,0.07984187,0.9016754,0.7219145,0.5794005,0.02442813,0.01870973,0.9208645
"PD41",0.8368132,0.1228373,0.8554654,0.7460423,0.5708307,0.01032147,0.0306001,0.8861184
"PDD39",0.8870945,0.146995,0.8721077,0.7235866,0.5309678,0.009559168,0.02398469,0.9013788
"PD11",0.8978898,0.1221504,0.9096526,0.8116459,0.6709013,0.004269714,0.02483084,0.9171159
"PDD26",0.9266165,0.07524702,0.8863472,0.7071216,0.6147396,0.006547911,0.02069331,0.9372722
"PDD25",0.914832,0.04399314,0.8673831,0.8097358,0.5031251,0.03033089,0.01900957,0.9216275
"PD1",0.9224663,0.1103245,0.8689225,0.7160521,0.6279706,0.009667492,0.02593807,0.860066
"CTRL24",0.8483049,0.1401981,0.8683212,0.6968411,0.600336,0.02346996,0.01720925,0.8298148
"PD55",0.8663581,0.1152759,0.8745741,0.7360441,0.6090905,0.01174498,0.02792204,0.9413226
"CTRL15",0.7845876,0.09200572,0.8800946,0.6932704,0.5545824,0.006497986,0.02173923,0.8511548
"CTRL63",0.8721092,0.0537188,0.8932376,0.7682288,0.5308902,0.008237305,0.02633211,0.8799154
"PDD60",0.8661857,0.1423116,0.8532363,0.8504656,0.567112,0.05104319,0.02472492,0.8302418
"PDD51",0.8480224,0.1007254,0.8358899,0.7019688,0.4895014,0.01408136,0.02253338,0.8521487
"PDD43",0.913133,0.1747009,0.8960528,0.7755396,0.6098699,0.02294316,0.02063163,0.848274
"PD14",0.8606249,0.104457,0.9141626,0.7429324,0.5996456,0.02558387,0.03047069,0.8668557
"PDD5",0.9207412,0.06681244,0.9194757,0.7527333,0.5139613,0.05484933,0.02746442,0.8966002
"PD37",0.8429783,0.1840415,0.8517411,0.7885705,0.5855596,0.009786404,0.03156661,0.8732783
"CTRL80",0.8318983,0.08532355,0.9185974,0.6982506,0.5833175,0.01505081,0.02182019,0.879832
"PDD74",0.8881835,0.08319899,0.9041051,0.8192724,0.6076593,0.00838215,0.02163331,0.8902337
"CTRL62",0.8766591,0.1147071,0.8778762,0.8172898,0.6000022,0.009688354,0.02651476,0.9001828
"PD3",0.9041059,0.1187329,0.8948389,0.7804342,0.5806552,0.03771806,0.03836003,0.8854433
"CTRL39",0.8170314,0.1034247,0.9087637,0.7189623,0.5947562,0.02065513,0.03257177,0.8951274
"CTRL97",0.873098,0.09537986,0.8993368,0.8137775,0.6112918,0.01311635,0.02408623,0.9021418
"PD47",0.8144367,0.06207802,0.8516922,0.7155115,0.526213,0.02557408,0.03447395,0.8566429
"DLB17",0.8477964,0.05198971,0.8909372,0.6789678,0.6017531,0.009118666,0.02515107,0.8514673
"DLB2",0.902006,0.1051899,0.8461607,0.7653634,0.5435451,0.04494664,0.03576807,0.8413583
"CTRL35",0.8604588,0.1619268,0.9184518,0.7715661,0.6029387,0.02353004,0.02077739,0.8139493
"PD8",0.9218452,0.1317045,0.9110697,0.7277863,0.6175637,0.007995649,0.02710443,0.8560876
"CTRL51",0.8353729,0.09064679,0.9445784,0.7254811,0.5284357,0.01273196,0.01996924,0.9216126
"CTRL77",0.9102168,0.07338737,0.8723545,0.7165417,0.5578713,0.007364087,0.01726435,0.9139757
