"","cg03819286","cg06998282","cg05313680","cg15175129","cg22502206","cg00622654","cg11709544","cg19104399","cg07621949","cg11280964","cg18127922","cg01947949","cg15485670","cg24206614","cg25936334","cg20248774","cg08324610","cg11596241","cg24315042","cg08485937","cg09214323","cg24280297","cg16196713","cg00933411","cg00425213"
"PDD38",0.7257812,0.06384574,0.7288733,0.1862449,0.1598906,0.01914327,0.2548877,0.9692278,0.9070935,0.02554169,0.3349724,0.05784644,0.233234,0.6700664,0.0741814,0.2334112,0.273279,0.8758187,0.9258175,0.9282158,0.7606538,0.01747038,0.01376451,0.8898723,0.8046131
"CTRL61",0.6083916,0.01346789,0.8177573,0.221219,0.1570704,0.01310729,0.1927944,0.979416,0.8519948,0.02158749,0.2980935,0.02663131,0.1849427,0.506216,0.06506399,0.29065,0.282125,0.8261808,0.8379731,0.9345542,0.7928147,0.01317538,0.004338217,0.888578,0.667614
"PDD23",0.6709693,0.01654682,0.823363,0.2761302,0.1507328,0.0107604,0.1643972,0.9782762,0.8884689,0.01558266,0.3754685,0.08861454,0.1903915,0.5691284,0.05002952,0.2941177,0.2831301,0.8977734,0.8612664,0.9280327,0.7705194,0.01258688,0.01497302,0.9299561,0.8540201
"PDD21",0.6562812,0.04909073,0.8183128,0.289502,0.1057663,0.01292308,0.2323658,0.9753959,0.8922373,0.01773692,0.2282783,0.04612018,0.1284615,0.7262033,0.06979427,0.2875904,0.2750523,0.9213357,0.9183756,0.9070525,0.6509991,0.01410828,0.01664093,0.8774502,0.835052
"PD29",0.5671002,0.005598126,0.7458741,0.1980129,0.1371818,0.002291476,0.2283417,0.9668819,0.8063693,0.0402745,0.3886598,0.03905073,0.1644782,0.6149212,0.06615044,0.2565543,0.3740175,0.8319736,0.873522,0.8937237,0.8051481,0.01268683,0.005767013,0.8180043,0.7172266
"PD5",0.6997158,0.07452213,0.8777588,0.2780514,0.1177263,0.02568684,0.3514868,0.9563814,0.8822726,0.03427741,0.313187,0.06650718,0.2140255,0.6620157,0.06756245,0.325911,0.2808389,0.8805957,0.8994746,0.9121008,0.7437851,0.01766595,0.02118126,0.8551646,0.8638604
"CTRL88",0.6172201,0.03051385,0.7969598,0.2408661,0.1353767,0.02219415,0.2578065,0.9489398,0.860692,0.04283204,0.2956886,0.06652807,0.1633987,0.5142441,0.05259609,0.3394555,0.3417541,0.8468272,0.8862689,0.9526819,0.7992465,0.01585716,0.008675971,0.8559646,0.7733805
"PD41",0.671172,0.02688357,0.7815009,0.2613184,0.1503666,0.01258457,0.2938767,0.9610076,0.8073009,0.02448314,0.3743975,0.0370926,0.1232477,0.5745318,0.05773857,0.324743,0.3909813,0.8483603,0.8879565,0.9135089,0.8086117,0.008958446,0.009650866,0.8443595,0.8064261
"PDD39",0.5860979,0.001065085,0.7274177,0.2607549,0.1552249,0.01971434,0.2339776,0.9562746,0.8503294,0.04595901,0.2641576,0.05854386,0.3957655,0.5134668,0.06574249,0.2499692,0.18822,0.8443688,0.86948,0.9128633,0.6784693,0.0160582,0.01464714,0.919165,0.8045349
"PD11",0.6809086,0.0003556025,0.8167581,0.2490606,0.1238157,0.01606314,0.2987403,0.9398815,0.8633483,0.02928898,0.3642372,0.06716877,0.1802233,0.5384094,0.05786026,0.3005013,0.3181355,0.8883732,0.8762271,0.9322077,0.7649147,0.0192795,0.006463101,0.9001397,0.7730168
"PDD26",0.7010031,0.04655952,0.787082,0.2314959,0.1079441,0.01202774,0.2508007,0.9699038,0.9009301,0.01189753,0.277518,0.02623668,0.169338,0.7176155,0.05610299,0.2708041,0.2708549,0.9088367,0.8929789,0.9097552,0.7161959,0.01448498,0.009754738,0.8785288,0.8656518
"PDD25",0.7196901,0.0263194,0.6236279,0.2523622,0.1258304,0.01692976,0.3694572,0.9775834,0.7231642,0.06129936,0.3983539,0.03306301,0.185994,0.6943372,0.0458595,0.3042044,0.576486,0.9147504,0.8751502,0.8500046,0.8933402,0.03264432,0.008627804,0.8119463,0.7669008
"PD1",0.6369721,0.005531457,0.7587718,0.2096932,0.07631445,0.0173852,0.2376677,0.9653681,0.8592973,0.04091729,0.2910542,0.0732151,0.2260934,0.6356696,0.04522672,0.3013132,0.2776531,0.8533323,0.8871533,0.9235278,0.7755388,0.01125054,0.004034914,0.8274996,0.7549025
"CTRL24",0.6684136,0.004888903,0.7506717,0.244094,0.1710974,0.01811628,0.3214016,0.9721624,0.8464375,0.0310152,0.3577313,0.0853389,0.2297962,0.6074982,0.06334597,0.3009121,0.236583,0.8666564,0.8392706,0.9101313,0.7263019,0.01189443,0.01050696,0.9165715,0.8338931
"PD55",0.6365578,0.03722882,0.7511477,0.2554948,0.1159632,0.01141199,0.2711128,0.9804571,0.8653331,0.03115996,0.2801339,0.06439922,0.1224263,0.6524517,0.04879049,0.2619915,0.2234143,0.8601229,0.8679808,0.9270917,0.8008657,0.008497876,0.009135757,0.8410706,0.7842689
"CTRL15",0.5752521,0.02594483,0.7604623,0.2200169,0.1587766,0.01189286,0.2408586,0.9833358,0.7877439,0.02040207,0.334474,0.06390426,0.1570066,0.528315,0.04620784,0.2710211,0.3398846,0.7646915,0.8195869,0.9363987,0.7464675,0.008326787,0.004299948,0.8872748,0.709873
"CTRL63",0.6913579,0.002268834,0.7138434,0.2630358,0.1237604,0.01244692,0.1415103,0.9870753,0.8818727,0.006950083,0.2765853,0.03000706,0.2071429,0.5102107,0.05383305,0.2839897,0.397166,0.860155,0.8244702,0.9509596,0.8729699,0.0122248,0.01038744,0.9332556,0.6829206
